ProteinAccessions	ProteinDescriptions	MolecularWeight	NrOfModifiedSequencesIdentifiedExperimentwide	is_SEC_Candidate	NrOfModifiedSequencesIdentified_SEC_fraction_47	NrOfModifiedSequencesIdentified_SEC_fraction_53	NrOfModifiedSequencesIdentified_SEC_fraction_54	NrOfModifiedSequencesIdentified_SEC_fraction_55	NrOfModifiedSequencesIdentified_SEC_fraction_56	NrOfModifiedSequencesIdentified_SEC_fraction_57	NrOfModifiedSequencesIdentified_SEC_fraction_58	NrOfModifiedSequencesIdentified_SEC_fraction_59	NrOfModifiedSequencesIdentified_SEC_fraction_60	NrOfModifiedSequencesIdentified_SEC_fraction_61	NrOfModifiedSequencesIdentified_SEC_fraction_62	NrOfModifiedSequencesIdentified_SEC_fraction_63	NrOfModifiedSequencesIdentified_SEC_fraction_64	NrOfModifiedSequencesIdentified_SEC_fraction_65	IBAQ_SEC_fraction_47	IBAQ_SEC_fraction_53	IBAQ_SEC_fraction_54	IBAQ_SEC_fraction_55	IBAQ_SEC_fraction_56	IBAQ_SEC_fraction_57	IBAQ_SEC_fraction_58	IBAQ_SEC_fraction_59	IBAQ_SEC_fraction_60	IBAQ_SEC_fraction_61	IBAQ_SEC_fraction_62	IBAQ_SEC_fraction_63	IBAQ_SEC_fraction_64	IBAQ_SEC_fraction_65	IBAQ_norm_SEC_fraction_47	IBAQ_norm_SEC_fraction_53	IBAQ_norm_SEC_fraction_54	IBAQ_norm_SEC_fraction_55	IBAQ_norm_SEC_fraction_56	IBAQ_norm_SEC_fraction_57	IBAQ_norm_SEC_fraction_58	IBAQ_norm_SEC_fraction_59	IBAQ_norm_SEC_fraction_60	IBAQ_norm_SEC_fraction_61	IBAQ_norm_SEC_fraction_62	IBAQ_norm_SEC_fraction_63	IBAQ_norm_SEC_fraction_64	IBAQ_norm_SEC_fraction_65	distribution	signal_peptide
D4GTY0	Large ribosomal subunit protein uL6	19610.68	20	TRUE	7	17	19	20	20	20	20	20	19	18	13	9	9	3	897.9	13151	57319.5	179411.8	399772	458009.1	447022.5	401501.6	188505.9	123990.1	45574	16174	5808.2	715.6	0.001960441	0.028713403	0.12514926	0.391721038	0.872847286	1	0.976012267	0.87662363	0.411576757	0.270715364	0.099504573	0.035313709	0.012681407	0.001562414		
D4H013	Small CPxCG-related zinc finger protein	8905.81	3	TRUE	1	3	3	3	3	3	2	3	2	2	1	1	1	1	365.7	67317.5	145885.4	351717.1	397973.5	264291.4	149088.2	77572	28963.6	18962.2	7016.3	4914.3	3824.6	3522.6	0.000918905	0.16915071	0.366570638	0.883770151	1	0.664092961	0.374618411	0.194917501	0.07277771	0.047646891	0.017630068	0.01234831	0.009610188	0.008851343		
D4GTK2	Uncharacterized protein	18119.66	14	TRUE	10	14	14	14	13	14	12	10	10	8	7	4	3	0	6074	516787.2	589112	592674.1	381543.6	165381.8	81392.4	35555.7	13564.4	8985.2	2806.8	1318.5	760.8	0	0.010248465	0.871958468	0.993989783	1	0.643766279	0.279043407	0.137330786	0.059991992	0.022886777	0.01516044	0.004735824	0.002224663	0.001283673	0		
J2ZJU5	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain-containing protein	35433.72	12	TRUE	2	12	12	12	12	12	12	12	11	11	5	4	3	3	792.6	58010.6	137396.8	239256.9	363127.6	240379.3	224856.6	121099.8	52345.3	30882.3	10588.4	5622.8	2740.4	1873.7	0.002182704	0.15975266	0.378370578	0.658878312	1	0.661969236	0.619222004	0.333491037	0.144151257	0.085045312	0.029158896	0.015484364	0.007546659	0.005159894		Tat/SPI
D4GSJ7	3-dehydroquinate dehydratase	27330.37	24	TRUE	16	24	24	23	23	23	23	23	21	17	15	9	3	2	1176.2	105916.3	220914.4	333954.3	352308.9	172862.3	92401.9	51096	17562.8	8957.3	2560.6	884.1	174.7	85.6	0.003338548	0.300634755	0.627047458	0.947901969	1	0.490655501	0.262275236	0.145031817	0.049850571	0.025424564	0.007268054	0.002509446	0.000495872	0.000242969		
D4GYX4	UPF0200 family protein	20714.06	36	TRUE	19	36	36	36	36	32	29	24	18	11	9	3	2	0	5793.3	469856.8	584918.3	551459.6	351048.3	133108.4	63522.6	25403.5	9412.5	4668.2	2239.9	190.3	91.8	0	0.00990446	0.803286203	1	0.942797652	0.600166382	0.227567508	0.108600808	0.043430852	0.016091991	0.007980944	0.003829424	0.000325345	0.000156945	0		
D4GVC2	Phosphoribosylformylglycinamidine synthase subunit PurS	9316.35	13	TRUE	0	9	10	11	12	13	12	13	12	11	9	9	8	5	0	9330.1	36145.9	125419.2	339141	360863	359263.7	321465	181573.3	120605.4	39856.1	16399	8086.4	4729	0	0.025854964	0.10016516	0.347553504	0.939805411	1	0.995568124	0.890822833	0.503164082	0.334213815	0.110446624	0.045443839	0.022408504	0.013104696		
D4GWS5	Transcription factor E	20648.81	21	TRUE	8	18	21	20	20	20	16	16	13	9	8	5	1	1	3733.6	140362.3	248327.9	340975.1	331701.1	192034.7	123429.6	74498.8	26719.9	15263.9	5854.3	2248.3	170.3	53.8	0.010949773	0.411649707	0.728287491	1	0.972801533	0.563192738	0.361990069	0.218487508	0.0783632	0.044765439	0.017169289	0.006593737	0.00049945	0.000157783		
D4GW02	UspA domain protein	15170.94	19	TRUE	11	19	19	19	19	19	19	19	17	15	12	10	7	1	1471.2	139507.8	233588.3	289408.3	330558.2	177464.8	117230.4	99619.9	45989.2	35469.9	12949.4	5406	2422.1	246	0.004450653	0.422037027	0.706648027	0.875513903	1	0.536864008	0.354643751	0.301368715	0.139125879	0.107303041	0.039174342	0.016354155	0.007327303	0.000744196		
D4GWB2	Small ribosomal subunit protein uS15	17529.43	26	TRUE	10	26	26	26	26	26	25	24	21	16	8	4	1	0	2569.1	134535.2	256800.5	338797.4	327389.6	161002.1	82600.5	44788.3	15994.4	9635	3250.9	1269	137.4	0	0.007582998	0.397096318	0.757976596	1	0.966328549	0.475216457	0.243805	0.132197886	0.047209335	0.028438825	0.00959541	0.003745601	0.000405552	0		
D4GZC8	CopG domain protein	6674.41	12	TRUE	0	11	12	12	12	12	12	11	10	8	5	3	1	0	0	28370.6	102145.9	224921.7	286847.8	188414.7	132574.6	83521.7	29703.8	16719.7	4837	1377.1	299.6	0	0	0.098904715	0.356097903	0.78411513	1	0.656845547	0.462177503	0.291170788	0.103552476	0.058287705	0.016862601	0.004800804	0.001044456	0		
D4GS31	FMN-binding domain protein	17328.23	21	TRUE	9	19	19	20	21	19	17	16	14	12	9	5	1	0	677.2	106354.1	165066	265804.8	275473.4	126273	64884.9	38276.2	13522.6	8247.4	2473.3	781.9	24	0	0.002458314	0.386077567	0.59920849	0.964901874	1	0.458385456	0.23553962	0.138946991	0.049088587	0.029939007	0.008978362	0.002838387	8.71E-05	0		
D4GU32	PRC domain protein	9493.82	12	TRUE	1	11	11	12	12	11	11	9	9	5	4	3	3	0	578.7	111033.4	228043.2	292614.9	275327.1	169860.6	106378.5	70207.2	32521.5	20096.9	7623.4	3804.5	1343.9	0	0.001977685	0.379452311	0.779328735	1	0.940919618	0.580491971	0.363544372	0.239930366	0.111140957	0.068680371	0.026052672	0.01300173	0.004592726	0		
D4GRY2	Beta-lactamase domain protein	22701.71	17	TRUE	6	15	16	17	17	17	17	16	13	12	6	3	2	1	375.2	62246.1	154705.3	264747.7	268013.6	155502.7	99384	45558.1	13726.1	9528.9	1136.3	215.7	140.6	163.2	0.001399929	0.232249781	0.57722929	0.987814424	1	0.580204512	0.370817003	0.169984284	0.051214192	0.035553793	0.00423971	0.00080481	0.0005246	0.000608924		
D4GVV5	UspA domain protein	15416.17	12	TRUE	4	10	12	12	12	11	10	10	10	9	7	5	2	2	814.8	76087.6	137992.5	210748.8	227864.6	100837.5	61958.4	54417.9	23016.2	14367.9	6162.9	2360.9	638.7	356.5	0.003575808	0.333915843	0.605589899	0.924886095	1	0.442532539	0.271908844	0.238816824	0.10100823	0.063054551	0.027046325	0.010360978	0.00280298	0.001564526		
D4GZN0	Phosphopantetheine adenylyltransferase	18561.55	16	TRUE	4	15	16	16	16	15	15	13	11	10	9	2	0	1	380.7	76076.8	165407.2	246205.6	221954.8	99102.7	62213.3	24289.3	8958	4822.7	1249.9	224.9	0	176.3	0.001546269	0.308997033	0.671825499	1	0.901501834	0.402520089	0.252688404	0.098654539	0.036384225	0.0195881	0.005076651	0.000913464	0	0.000716068		
D4GUV6	FAD-dependent oxidoreductase	21777.45	8	TRUE	4	8	8	8	8	8	7	5	4	2	1	0	0	0	2154.4	241186.1	276109.9	323778.1	220093.7	103438.4	46436.8	18940.6	5821.7	2289	692.4	0	0	0	0.00665394	0.744911716	0.852775095	1	0.6797671	0.319473121	0.143421683	0.058498706	0.017980524	0.007069657	0.002138502	0	0	0		
D4GSW0	DNA-binding protein HVO_1857	13769.4	29	TRUE	10	28	29	29	29	27	25	19	12	10	7	7	4	2	1827.6	79101.6	124836.5	208677.5	209704.5	101248.2	46838.9	26027.3	8463	6059.2	3045.6	3238.5	1949.8	1528.5	0.008715121	0.377205067	0.595297192	0.995102633	1	0.482813674	0.223356676	0.12411417	0.040356788	0.028893991	0.014523293	0.015443159	0.009297845	0.007288828		
D4GQN5	CRISPR-associated protein Cas8b	79351.66	38	TRUE	24	38	38	37	37	36	32	31	23	20	13	11	9	8	3410.7	196238.9	256755.2	264818.2	200848.3	79201.5	43942.9	22389.5	9994.3	6279.2	3055.7	1961.2	1061.4	1060	0.012879402	0.741032527	0.969552697	1	0.758438431	0.299078764	0.165936103	0.084546681	0.037740231	0.023711361	0.011538859	0.007405835	0.004008033	0.004002746		
D4GYZ1	Proteasome subunit beta	25993.77	33	TRUE	4	30	31	32	33	31	23	19	16	12	10	7	7	7	38.4	110759.5	91753.2	142715.6	195740.1	27423.5	92626.1	11161.5	5705.4	70323.7	3058.1	3130.5	4686.8	6337	0.000196179	0.565849818	0.468750144	0.729107628	1	0.140101594	0.473209628	0.057022041	0.029147834	0.359270788	0.015623268	0.015993146	0.023943995	0.032374562		
D4GS24	Large ribosomal subunit protein uL16	19765.53	18	TRUE	12	17	18	18	18	18	17	17	16	13	10	2	1	0	2068.5	26647.8	65188.3	142548.6	184953.1	101307.7	51694.1	40454.1	14823.1	7576.5	2477.4	311.2	27.1	0	0.011183916	0.144078688	0.352458542	0.770728363	1	0.547748051	0.279498424	0.218726261	0.080145183	0.040964439	0.013394747	0.001682589	0.000146524	0		
D4GXL4	GNAT family acetyltransferase	16285.73	23	TRUE	0	18	20	21	23	23	23	21	20	20	17	10	6	2	0	5785.6	22690.5	80423.8	177129.5	159336.2	147106.2	124531.5	55579.3	36503.1	11579	3736.4	1111	294.9	0	0.032663108	0.128101192	0.454039559	1	0.899546377	0.830500848	0.703053416	0.313777773	0.206081426	0.065370252	0.021094171	0.006272247	0.001664884		
D4H036	PRC domain protein	10821.12	12	TRUE	9	12	12	12	12	12	12	12	10	10	10	9	7	5	10930.3	76311.9	121704.8	164736.7	173919	130782	118890	131126.7	91681.6	96048.6	55152.7	31389.4	12269	6235.1	0.062847072	0.438778397	0.699778633	0.947203583	1	0.751970745	0.683594087	0.753952702	0.527151145	0.552260535	0.317117164	0.180482868	0.070544334	0.035850597		
D4GTX8	Large ribosomal subunit protein eL19	17328.34	14	TRUE	3	13	14	14	14	12	10	8	7	5	5	4	4	3	462.3	64004.1	109732.6	184715.5	167267.8	90491.9	49963.2	25414.9	8510.8	7330	4577.7	4093.5	2821.3	2372.1	0.002502768	0.34650097	0.594062761	1	0.905542848	0.48989879	0.270487317	0.137589428	0.04607518	0.039682647	0.024782436	0.022161107	0.015273759	0.012841911		
D4GSH1	NAD-dependent epimerase/dehydratase-like protein	22341.53	14	TRUE	6	13	14	14	13	13	13	10	7	7	4	2	1	0	746.4	96471.3	153614.4	196595.8	166396.4	72264.4	36744.2	16136.5	5617.4	4721.6	1085.2	301.8	44	0	0.003796622	0.490708855	0.781371728	1	0.846388377	0.367578555	0.186902263	0.082079576	0.028573347	0.02401679	0.005519955	0.001535129	0.000223809	0		
D4GWN1	DNA repair and recombination protein RadB	24600.23	19	TRUE	6	17	19	19	19	18	18	18	16	14	13	6	5	0	163.9	24254.7	51229.7	106406	154223.9	100924.9	64742.1	46238.8	22120.4	14404	6809.3	1971.2	631.1	0	0.001062741	0.157269399	0.332177438	0.689944944	1	0.654405057	0.419792911	0.299816047	0.143430428	0.093396678	0.044152041	0.012781417	0.004092102	0		
D4GYB9	UspA domain protein	13773.36	11	TRUE	4	11	11	11	11	11	11	11	11	10	10	6	5	3	422.7	57998.2	91554.1	133073.9	153836.5	99965.9	87659.1	82337.8	53745.4	50047.1	23909.2	9906.1	3206.4	1258.8	0.002747722	0.377011958	0.595138995	0.865034631	1	0.649819126	0.569819906	0.535229286	0.349367023	0.325326564	0.155419553	0.064393691	0.020842908	0.008182713		
P50559	Large ribosomal subunit protein uL5	19118.25	16	TRUE	5	16	15	16	16	16	16	13	10	7	5	2	2	1	619.3	25086.4	63630.1	134715.1	152513.5	106263	60468.7	33330.3	12900.3	6830.4	2707	944.3	478.7	205.7	0.004060624	0.164486423	0.417209624	0.883299511	1	0.696744878	0.396480967	0.218539998	0.084584643	0.044785544	0.017749248	0.006191583	0.003138739	0.001348733		
D4GQF0	PadR family transcription regulator	11035.18	7	TRUE	0	4	5	6	7	7	7	7	7	7	7	7	7	6	0	4537.6	20841.4	74955.3	150061.9	193922.8	244874.2	219148.2	148596.9	189312.5	164762.1	196279.8	172940.2	162875.5	0	0.018530331	0.08511064	0.306097172	0.612812211	0.791928264	1	0.894941974	0.606829548	0.773101045	0.672843852	0.801553614	0.706241	0.665139488		
D4GZZ8	Uncharacterized protein	18086.77	17	TRUE	2	13	14	17	17	17	17	15	12	7	6	6	1	0	48.2	10582.2	36060.5	96950.8	147829.6	119659.2	97487.5	50064.9	18426.1	9642.9	3155.9	1483.5	59.5	0	0.000326051	0.071583769	0.243932879	0.655828061	1	0.809440058	0.659458593	0.338666275	0.124644185	0.065229832	0.021348228	0.010035203	0.00040249	0		
D4GYR5	NifU C-terminal domain protein	13200.46	13	TRUE	3	12	12	13	13	13	13	13	12	11	10	2	0	0	1018.2	13791.2	38291.8	89540	127779.1	100595.4	73653.1	59844.5	27313.2	19277.9	8493.9	3602	0	0	0.007968439	0.107930014	0.299671856	0.700740575	1	0.787260201	0.576409601	0.468343415	0.213753266	0.150868961	0.066473312	0.028189274	0	0		
D4GY73	Aspartate carbamoyltransferase regulatory chain	16713.84	12	TRUE	5	9	11	12	12	12	12	12	11	11	9	7	3	1	1112.7	11511	31780.8	80740.8	123259.9	109904.8	88647	80540.2	46079.7	39085.9	15061	6573.2	1323	690.6	0.009027267	0.093388036	0.257835679	0.655045153	1	0.891650894	0.719187668	0.653417697	0.373841777	0.317101507	0.122188968	0.053327968	0.010733418	0.005602795		
D4GTD0	GTP-dependent dephospho-CoA kinase	18733.1	12	TRUE	1	11	12	12	12	12	10	8	5	6	2	1	1	1	176.6	22809.3	57266.1	104583.1	122701.9	64567.9	33433	16837.7	6140.1	3256.9	835.3	338.8	54.2	79.3	0.001439261	0.185891987	0.466709154	0.852334805	1	0.526217605	0.272473368	0.137224444	0.05004079	0.026543191	0.006807556	0.002761163	0.000441721	0.000646282		
D4GRW6	Glyoxalase domain protein	33436.38	27	TRUE	16	26	27	27	27	26	26	25	21	14	8	1	1	0	2059.9	84598.6	124620.3	158434.5	122362.2	62192	36550.2	17294.8	6074.3	2995.1	652.7	100.8	51.4	0	0.013001587	0.533965771	0.786573	1	0.772320423	0.392540766	0.230695966	0.109160568	0.038339503	0.018904342	0.004119684	0.000636225	0.000324424	0		
D4GXD8	Putative adenylate kinase	18720.52	14	TRUE	4	12	14	14	14	14	14	14	9	8	6	4	1	0	281.1	18768.3	50946.3	100900.8	121234.6	76678.3	44797.7	25395.7	8649.8	5378	1428.7	697.7	383.1	0	0.002318645	0.154809766	0.420229044	0.832277254	1	0.632478682	0.369512499	0.209475678	0.071347619	0.044360273	0.01178459	0.005754958	0.003159989	0		
D4GQE6	HTH domain protein	17875.67	20	TRUE	13	20	20	20	20	19	14	12	8	5	4	3	0	0	9249.1	163741.1	176066.8	178885	116985.4	45454	18103.7	9413.6	2755.7	1724.8	883.8	120.2	0	0	0.051704167	0.915342818	0.984245744	1	0.653969869	0.254096207	0.101203008	0.052623753	0.015404869	0.009641949	0.004940604	0.00067194	0	0		
D4GST3	Uncharacterized protein	15319.68	14	TRUE	3	7	12	14	14	14	14	14	14	9	6	2	1	0	1184.7	4124.5	14984.4	54591.7	116773.4	127977.6	116803.8	83721.5	38541.4	24490.2	7401.4	2452.5	1002.5	0	0.009257089	0.032228296	0.117086115	0.426572306	0.912451867	1	0.912689408	0.654188702	0.30115739	0.191363176	0.057833558	0.01916351	0.007833402	0		
D4GVE6	Uncharacterized protein	17687.24	12	TRUE	0	10	12	12	12	12	11	11	10	9	7	2	0	0	0	10072.8	33063.3	73939.5	112900.5	80152.1	52138.7	36737.7	12060.2	7268.6	2181.4	300.2	0	0	0	0.089218383	0.292853442	0.654908526	1	0.70993574	0.461811064	0.325398913	0.106821493	0.064380583	0.019321438	0.002658978	0	0		
D4GT82	Transcription elongation factor Spt5	16317.38	10	TRUE	0	8	10	10	10	10	7	6	6	3	4	2	0	0	0	37994.8	58766.8	105357.5	107522.3	42181.1	17272.3	11890.4	4575.1	1747.6	1832.2	471	0	0	0	0.353366697	0.546554529	0.979866502	1	0.392300946	0.160639235	0.110585432	0.042550243	0.016253373	0.017040186	0.004380487	0	0		
