protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
AEN05611.1@GCA_000224475.1,Sec/SPI,0.999120,25-26,0.896989
AEN05626.1@GCA_000224475.1,Sec/SPI,0.999204,28-29,0.971647
AEN05630.1@GCA_000224475.1,Sec/SPII,1.000051,16-17,0.996606
AEN05631.1@GCA_000224475.1,Sec/SPI,0.998837,24-25,0.973717
AEN05694.1@GCA_000224475.1,Sec/SPI,0.997224,26-27,0.976515
AEN05713.1@GCA_000224475.1,Tat/SPII,0.998668,31-32,0.841330
AEN05721.1@GCA_000224475.1,Tat/SPII,0.986532,36-37,0.826149
AEN05740.1@GCA_000224475.1,Sec/SPI,0.695542,33-34,0.648928
AEN05745.1@GCA_000224475.1,Tat/SPI,0.999974,29-30,0.909601
AEN05818.1@GCA_000224475.1,Tat/SPII,0.999815,28-29,0.850282
AEN05823.1@GCA_000224475.1,Tat/SPI,0.999977,34-35,0.904756
AEN05826.1@GCA_000224475.1,Sec/SPI,0.867445,27-28,0.396682
AEN05840.1@GCA_000224475.1,Tat/SPII,0.999907,28-29,0.845223
AEN05891.1@GCA_000224475.1,Sec/SPI,0.875665,30-31,0.574374
AEN05919.1@GCA_000224475.1,Sec/SPI,0.999154,25-26,0.972411
AEN05923.1@GCA_000224475.1,Tat/SPI,0.986294,43-44,0.840691
AEN05948.1@GCA_000224475.1,Tat/SPI,0.954351,46-47,0.842679
AEN05974.1@GCA_000224475.1,Tat/SPII,0.999463,34-35,0.827904
AEN05988.1@GCA_000224475.1,Tat/SPII,0.977537,37-38,0.792599
AEN05992.1@GCA_000224475.1,Tat/SPII,0.999519,25-26,0.846338
AEN06021.1@GCA_000224475.1,Sec/SPI,0.685483,34-35,0.645289
AEN06028.1@GCA_000224475.1,Tat/SPII,0.862016,21-22,0.727126
AEN06030.1@GCA_000224475.1,Sec/SPI,0.500289,35-36,0.285198
AEN06065.1@GCA_000224475.1,Sec/SPII,1.000067,20-21,0.992497
AEN06080.1@GCA_000224475.1,Sec/SPI,0.998810,30-31,0.968723
AEN06102.1@GCA_000224475.1,Tat/SPII,0.999966,23-24,0.850342
AEN06103.1@GCA_000224475.1,Tat/SPII,0.993223,33-34,0.838440
AEN06152.1@GCA_000224475.1,Tat/SPII,0.999489,28-29,0.837357
AEN06176.1@GCA_000224475.1,Sec/SPII,1.000045,19-20,0.992385
AEN06224.1@GCA_000224475.1,Tat/SPI,0.999980,32-33,0.921433
AEN06237.1@GCA_000224475.1,Sec/SPI,0.998165,22-23,0.975576
AEN06262.1@GCA_000224475.1,Sec/SPI,0.993209,26-27,0.946658
AEN06300.1@GCA_000224475.1,Tat/SPII,0.999856,24-25,0.845610
AEN06317.1@GCA_000224475.1,Tat/SPII,0.999878,23-24,0.846584
AEN06318.1@GCA_000224475.1,Tat/SPII,0.952987,27-28,0.792685
AEN06374.1@GCA_000224475.1,Sec/SPI,0.998831,40-41,0.973339
AEN06379.1@GCA_000224475.1,Tat/SPI,0.999803,37-38,0.901160
AEN06385.1@GCA_000224475.1,Sec/SPII,0.822570,19-20,0.807027
AEN06392.1@GCA_000224475.1,Sec/SPII,1.000016,18-19,0.996006
AEN06449.1@GCA_000224475.1,Tat/SPII,0.999721,27-28,0.847962
AEN06521.1@GCA_000224475.1,Tat/SPII,0.999902,24-25,0.845324
AEN06534.1@GCA_000224475.1,Sec/SPI,0.999058,20-21,0.986903
AEN06538.1@GCA_000224475.1,Sec/SPI,0.998841,29-30,0.966774
AEN06539.1@GCA_000224475.1,Sec/SPI,0.785780,25-26,0.670478
AEN06544.1@GCA_000224475.1,Tat/SPII,0.997200,24-25,0.846159
AEN06550.1@GCA_000224475.1,Sec/SPI,0.741321,27-28,0.634558
AEN06560.1@GCA_000224475.1,Sec/SPI,0.998666,25-26,0.621895
AEN06561.1@GCA_000224475.1,Sec/SPI,0.999082,25-26,0.961368
AEN06568.1@GCA_000224475.1,Tat/SPII,0.999896,25-26,0.851477
AEN06579.1@GCA_000224475.1,Sec/SPI,0.833285,29-30,0.397057
AEN06585.1@GCA_000224475.1,Tat/SPI,0.954455,29-30,0.786858
AEN06595.1@GCA_000224475.1,Sec/SPI,0.659834,24-25,0.479505
AEN06600.1@GCA_000224475.1,Sec/SPII,1.000061,19-20,0.996781
AEN06610.1@GCA_000224475.1,Tat/SPI,0.999896,39-40,0.872462
AEN06623.1@GCA_000224475.1,Sec/SPII,0.995594,19-20,0.984486
AEN06647.1@GCA_000224475.1,Sec/SPI,0.940561,22-23,0.865144
AEN06648.1@GCA_000224475.1,Sec/SPI,0.999006,23-24,0.918899
AEN06696.1@GCA_000224475.1,Sec/SPI,0.998831,29-30,0.970491
AEN06705.1@GCA_000224475.1,Tat/SPII,0.951244,26-27,0.806446
AEN06728.1@GCA_000224475.1,Sec/SPI,0.998921,24-25,0.860149
AEN06739.1@GCA_000224475.1,Tat/SPII,0.999843,29-30,0.843779
AEN06757.1@GCA_000224475.1,Sec/SPI,0.542278,39-40,0.515153
AEN06759.1@GCA_000224475.1,Tat/SPI,0.924998,29-30,0.600032
AEN06804.1@GCA_000224475.1,Tat/SPI,0.954351,46-47,0.842679
AEN06821.1@GCA_000224475.1,Tat/SPI,0.978784,44-45,0.834455
AEN06825.1@GCA_000224475.1,Tat/SPI,0.736943,32-33,0.602969
AEN06828.1@GCA_000224475.1,Sec/SPI,0.806111,24-25,0.635367
AEN06834.1@GCA_000224475.1,Tat/SPII,0.999666,26-27,0.836225
AEN06887.1@GCA_000224475.1,Tat/SPII,0.999777,20-21,0.862586
AEN06940.1@GCA_000224475.1,Sec/SPI,0.999031,24-25,0.979103
AEN06964.1@GCA_000224475.1,Sec/SPII,0.654318,19-20,0.638882
AEN07012.1@GCA_000224475.1,Tat/SPII,0.998424,33-34,0.827863
AEN07032.1@GCA_000224475.1,Tat/SPII,0.997647,30-31,0.838963
AEN07034.1@GCA_000224475.1,Sec/SPII,0.999999,15-16,0.990097
AEN07083.1@GCA_000224475.1,Sec/SPI,0.985238,23-24,0.947532
AEN07118.1@GCA_000224475.1,Sec/SPII,1.000033,16-17,0.995825
AEN07119.1@GCA_000224475.1,Sec/SPI,0.998693,25-26,0.488027
AEN07146.1@GCA_000224475.1,Tat/SPII,0.827074,21-22,0.692839
AEN07210.1@GCA_000224475.1,Tat/SPI,0.979684,26-27,0.535621
AEN07216.1@GCA_000224475.1,Tat/SPI,0.859940,42-43,0.738514
AEN07247.1@GCA_000224475.1,Tat/SPII,0.998750,21-22,0.836217
AEN07253.1@GCA_000224475.1,Tat/SPI,0.999963,34-35,0.929723
AEN07258.1@GCA_000224475.1,Sec/SPII,0.881747,12-13,0.842964
AEN07302.1@GCA_000224475.1,Sec/SPII,0.820990,18-19,0.801104
AEN07305.1@GCA_000224475.1,Tat/SPII,0.999966,21-22,0.844940
AEN07338.1@GCA_000224475.1,Sec/SPI,0.769063,45-46,0.707552
AEN07339.1@GCA_000224475.1,Sec/SPI,0.993428,25-26,0.676453
AEN07340.1@GCA_000224475.1,Tat/SPII,0.999796,27-28,0.838313
AEN07358.1@GCA_000224475.1,Tat/SPI,0.618847,68-69,0.365270
AEN07372.1@GCA_000224475.1,Tat/SPI,0.943466,45-46,0.805192
AEN07432.1@GCA_000224475.1,Tat/SPII,0.984741,20-21,0.839516
AEN07467.1@GCA_000224475.1,Tat/SPI,0.999700,27-28,0.915861
AEN07532.1@GCA_000224475.1,Tat/SPII,0.996300,32-33,0.829802
AEN07570.1@GCA_000224475.1,Sec/SPII,0.999703,13-14,0.987101
AEN07618.1@GCA_000224475.1,Tat/SPI,0.972602,29-30,0.875796
AEN07628.1@GCA_000224475.1,Tat/SPI,0.927847,47-48,0.796106
AEN07688.1@GCA_000224475.1,Sec/SPII,0.870426,17-18,0.843469
AEN07712.1@GCA_000224475.1,Tat/SPII,0.999932,26-27,0.848733
AEN07733.1@GCA_000224475.1,Tat/SPI,0.866546,29-30,0.705663
AEN07794.1@GCA_000224475.1,Tat/SPII,0.999844,27-28,0.839186
AEN07795.1@GCA_000224475.1,Sec/SPI,0.994743,28-29,0.946290
AEN07796.1@GCA_000224475.1,Sec/SPI,0.987378,46-47,0.914346
AEN07812.1@GCA_000224475.1,Tat/SPI,0.914854,55-56,0.802022
AEN07827.1@GCA_000224475.1,Sec/SPI,0.999227,25-26,0.980943
AEN07840.1@GCA_000224475.1,Tat/SPI,0.998891,27-28,0.862659
AEN07868.1@GCA_000224475.1,Tat/SPI,0.996333,41-42,0.648650
AEN07941.1@GCA_000224475.1,Tat/SPII,0.999841,22-23,0.856871
AEN07947.1@GCA_000224475.1,Sec/SPII,0.740497,18-19,0.726071
EMA17863.1@GCA_000336895.1,Tat/SPII,0.999533,23-24,0.847361
EMA17874.1@GCA_000336895.1,Tat/SPII,0.999941,24-25,0.841194
EMA17919.1@GCA_000336895.1,Tat/SPII,0.998720,25-26,0.851847
EMA17937.1@GCA_000336895.1,Tat/SPI,0.999372,23-24,0.555820
EMA17965.1@GCA_000336895.1,Tat/SPI,0.999994,28-29,0.924108
EMA18475.1@GCA_000336895.1,Sec/SPI,0.998774,28-29,0.970188
EMA18564.1@GCA_000336895.1,Sec/SPI,0.999044,24-25,0.979282
EMA18569.1@GCA_000336895.1,Sec/SPII,1.000043,13-14,0.996509
EMA18575.1@GCA_000336895.1,Tat/SPII,0.997346,20-21,0.835205
EMA18591.1@GCA_000336895.1,Sec/SPI,0.999000,27-28,0.975227
EMA18592.1@GCA_000336895.1,Sec/SPI,0.998873,24-25,0.968738
EMA18612.1@GCA_000336895.1,Sec/SPI,0.945376,19-20,0.700075
EMA18613.1@GCA_000336895.1,Sec/SPI,0.922178,35-36,0.737129
EMA18619.1@GCA_000336895.1,Tat/SPII,0.999978,27-28,0.845946
EMA18627.1@GCA_000336895.1,Sec/SPII,1.000046,18-19,0.995945
EMA18650.1@GCA_000336895.1,Tat/SPII,0.999717,31-32,0.845561
EMA18686.1@GCA_000336895.1,Tat/SPI,0.997486,37-38,0.904266
EMA18693.1@GCA_000336895.1,Tat/SPII,0.754902,22-23,0.644043
EMA18720.1@GCA_000336895.1,Sec/SPII,1.000037,18-19,0.995090
EMA18725.1@GCA_000336895.1,Tat/SPII,0.999682,22-23,0.846722
EMA18749.1@GCA_000336895.1,Tat/SPI,0.531768,27-28,0.453246
EMA18869.1@GCA_000336895.1,Tat/SPII,0.999846,26-27,0.845904
EMA18878.1@GCA_000336895.1,Tat/SPII,0.585964,20-21,0.488307
EMA18880.1@GCA_000336895.1,Sec/SPI,0.597301,34-35,0.569435
EMA18932.1@GCA_000336895.1,Sec/SPI,0.998634,22-23,0.966125
EMA18946.1@GCA_000336895.1,Sec/SPI,0.685104,25-26,0.610426
EMA18957.1@GCA_000336895.1,Tat/SPII,0.998328,19-20,0.840405
EMA18989.1@GCA_000336895.1,Tat/SPI,0.381040,27-28,0.265354
EMA19082.1@GCA_000336895.1,Sec/SPI,0.998984,24-25,0.975740
EMA19105.1@GCA_000336895.1,Sec/SPII,1.000051,18-19,0.994974
EMA19121.1@GCA_000336895.1,Tat/SPII,0.999611,31-32,0.840631
EMA19139.1@GCA_000336895.1,Sec/SPII,0.999618,22-23,0.984838
EMA19156.1@GCA_000336895.1,Tat/SPII,0.995022,39-40,0.834788
EMA19188.1@GCA_000336895.1,Tat/SPI,0.997260,46-47,0.800170
EMA19197.1@GCA_000336895.1,Sec/SPI,0.999174,20-21,0.967564
EMA19199.1@GCA_000336895.1,Sec/SPII,0.994644,14-15,0.974955
EMA19224.1@GCA_000336895.1,Tat/SPI,0.973801,34-35,0.451534
EMA19230.1@GCA_000336895.1,Sec/SPII,0.999961,11-12,0.987187
EMA19243.1@GCA_000336895.1,Sec/SPII,0.975369,12-13,0.957543
EMA19249.1@GCA_000336895.1,Tat/SPII,0.977663,20-21,0.831348
EMA19256.1@GCA_000336895.1,Tat/SPII,0.997599,20-21,0.848119
EMA19257.1@GCA_000336895.1,Tat/SPII,0.982212,20-21,0.839519
EMA19293.1@GCA_000336895.1,Sec/SPI,0.779214,28-29,0.665788
EMA19298.1@GCA_000336895.1,Sec/SPI,0.997787,28-29,0.953268
EMA19679.1@GCA_000336895.1,Tat/SPII,0.999155,31-32,0.837392
EMA19690.1@GCA_000336895.1,Tat/SPII,0.606617,18-19,0.515046
EMA19703.1@GCA_000336895.1,Sec/SPI,0.993554,22-23,0.874207
EMA19711.1@GCA_000336895.1,Tat/SPI,0.665557,26-27,0.548193
EMA19826.1@GCA_000336895.1,Tat/SPII,0.542539,19-20,0.457396
EMA19833.1@GCA_000336895.1,Tat/SPII,0.999752,24-25,0.843173
EMA19834.1@GCA_000336895.1,Sec/SPI,0.996342,22-23,0.945474
EMA19882.1@GCA_000336895.1,Tat/SPI,0.999574,40-41,0.894816
EMA19911.1@GCA_000336895.1,Sec/SPI,0.998944,25-26,0.971210
EMA19935.1@GCA_000336895.1,Sec/SPI,0.634975,25-26,0.325488
EMA19943.1@GCA_000336895.1,Tat/SPII,0.999914,28-29,0.842371
EMA19964.1@GCA_000336895.1,Sec/SPI,0.995928,31-32,0.946788
EMA20008.1@GCA_000336895.1,Sec/SPII,0.589500,15-16,0.566484
EMA20009.1@GCA_000336895.1,Sec/SPI,0.998834,27-28,0.973116
EMA20023.1@GCA_000336895.1,Sec/SPI,0.999087,34-35,0.476100
EMA20024.1@GCA_000336895.1,Tat/SPI,0.899132,38-39,0.480696
EMA20028.1@GCA_000336895.1,Sec/SPI,0.998050,25-26,0.951902
EMA20051.1@GCA_000336895.1,Tat/SPII,0.993291,21-22,0.840520
EMA20054.1@GCA_000336895.1,Sec/SPII,1.000061,20-21,0.991418
EMA20084.1@GCA_000336895.1,Tat/SPII,0.996816,23-24,0.842804
EMA20095.1@GCA_000336895.1,Sec/SPII,0.637816,15-16,0.612283
EMA20096.1@GCA_000336895.1,Sec/SPI,0.998915,27-28,0.974349
EMA20108.1@GCA_000336895.1,Sec/SPI,0.912123,29-30,0.768050
EMA20114.1@GCA_000336895.1,Sec/SPI,0.567347,25-26,0.543865
EMA20116.1@GCA_000336895.1,Tat/SPII,0.992475,20-21,0.830280
EMA20147.1@GCA_000336895.1,Sec/SPII,1.000063,15-16,0.994818
EMA20148.1@GCA_000336895.1,Sec/SPII,1.000063,19-20,0.996050
EMA20156.1@GCA_000336895.1,Tat/SPII,0.999904,27-28,0.848872
EMA20181.1@GCA_000336895.1,Sec/SPI,0.611871,26-27,0.497915
EMA20188.1@GCA_000336895.1,Sec/SPI,0.843658,24-25,0.525758
EMA20663.1@GCA_000336895.1,Sec/SPI,0.564531,27-28,0.562322
EMA20671.1@GCA_000336895.1,Tat/SPII,0.990665,25-26,0.842903
EMA20675.1@GCA_000336895.1,Tat/SPII,0.994953,20-21,0.840938
EMA20684.1@GCA_000336895.1,Sec/SPI,0.998993,26-27,0.966855
EMA20754.1@GCA_000336895.1,Tat/SPII,0.999929,25-26,0.854060
EMA20756.1@GCA_000336895.1,Sec/SPI,0.963715,43-44,0.895219
EMA20775.1@GCA_000336895.1,Sec/SPI,0.739269,23-24,0.709875
EMA20791.1@GCA_000336895.1,Sec/SPII,1.000051,15-16,0.994855
EMA20818.1@GCA_000336895.1,Sec/SPI,0.999022,24-25,0.975963
EMA20819.1@GCA_000336895.1,Sec/SPI,0.998200,20-21,0.956291
EMA20843.1@GCA_000336895.1,Tat/SPII,0.897348,38-39,0.741241
EMA20851.1@GCA_000336895.1,Sec/SPII,1.000036,20-21,0.991693
EMA20870.1@GCA_000336895.1,Tat/SPII,0.999935,25-26,0.844780
EMA20872.1@GCA_000336895.1,Tat/SPII,0.980741,29-30,0.825388
EMA20881.1@GCA_000336895.1,Sec/SPI,0.998784,23-24,0.969662
EMA20977.1@GCA_000336895.1,Tat/SPII,0.999407,29-30,0.850133
EMA20996.1@GCA_000336895.1,Sec/SPII,1.000081,18-19,0.990787
EMA21318.1@GCA_000336895.1,Tat/SPI,0.985787,33-34,0.664879
EMA21320.1@GCA_000336895.1,Tat/SPI,0.999996,31-32,0.644389
EMA21322.1@GCA_000336895.1,Sec/SPI,0.940059,21-22,0.916714
EMA22110.1@GCA_000336895.1,Sec/SPI,0.530521,36-37,0.267137
EMA22112.1@GCA_000336895.1,Sec/SPI,0.462773,36-37,0.239797
EMA22113.1@GCA_000336895.1,Sec/SPI,0.994515,32-33,0.946832
EMA22138.1@GCA_000336895.1,Tat/SPI,0.899888,33-34,0.781730
EMA22154.1@GCA_000336895.1,Tat/SPI,0.999973,34-35,0.918836
EMA22183.1@GCA_000336895.1,Sec/SPI,0.999063,27-28,0.971906
EMA22208.1@GCA_000336895.1,Tat/SPI,0.990085,47-48,0.844645
EMA22216.1@GCA_000336895.1,Sec/SPII,1.000060,17-18,0.996449
EMA22253.1@GCA_000336895.1,Sec/SPI,0.998908,27-28,0.581615
EMA22254.1@GCA_000336895.1,Sec/SPI,0.998836,26-27,0.970602
EMA22265.1@GCA_000336895.1,Sec/SPII,1.000061,16-17,0.993873
EMA22291.1@GCA_000336895.1,Tat/SPI,0.999995,32-33,0.927831
EMA22305.1@GCA_000336895.1,Tat/SPII,0.978963,20-21,0.826935
EMA22319.1@GCA_000336895.1,Tat/SPII,0.999962,21-22,0.846731
EMA22334.1@GCA_000336895.1,Sec/SPI,0.998955,28-29,0.979275
EMA22353.1@GCA_000336895.1,Sec/SPII,1.000038,14-15,0.987026
EMA22358.1@GCA_000336895.1,Tat/SPII,0.803873,52-53,0.667174
EMA22362.1@GCA_000336895.1,Sec/SPII,0.538157,19-20,0.520244
EMA22368.1@GCA_000336895.1,Sec/SPI,0.917663,24-25,0.865936
EMA22386.1@GCA_000336895.1,Tat/SPII,0.998661,32-33,0.843890
EMA22391.1@GCA_000336895.1,Sec/SPI,0.997438,35-36,0.926975
EMA22406.1@GCA_000336895.1,Tat/SPII,0.931992,25-26,0.789255
EMA22445.1@GCA_000336895.1,Sec/SPI,0.998911,26-27,0.969581
EMA22454.1@GCA_000336895.1,Sec/SPII,0.999834,26-27,0.991896
EMA22460.1@GCA_000336895.1,Sec/SPII,1.000050,19-20,0.982715
EMA22461.1@GCA_000336895.1,Tat/SPII,0.999816,30-31,0.845648
EMA22469.1@GCA_000336895.1,Tat/SPI,0.999933,33-34,0.933341
EMA22473.1@GCA_000336895.1,Tat/SPII,0.993163,23-24,0.833744
EMA22498.1@GCA_000336895.1,Sec/SPI,0.979729,36-37,0.895594
EMA22528.1@GCA_000336895.1,Sec/SPI,0.962742,20-21,0.910323
EMA22546.1@GCA_000336895.1,Tat/SPII,0.990954,28-29,0.822919
EMA22548.1@GCA_000336895.1,Tat/SPII,0.842963,48-49,0.705811
EMA22551.1@GCA_000336895.1,Tat/SPII,0.997776,26-27,0.843622
EMA23219.1@GCA_000336895.1,Sec/SPI,0.998818,25-26,0.967933
EMA23410.1@GCA_000336895.1,Tat/SPII,0.816836,42-43,0.685051
EMA23413.1@GCA_000336895.1,Tat/SPI,0.767570,42-43,0.633649
EMA23417.1@GCA_000336895.1,Tat/SPII,0.999613,25-26,0.854852
EMA23506.1@GCA_000336895.1,Sec/SPII,0.919839,18-19,0.902693
EMA23519.1@GCA_000336895.1,Sec/SPII,0.999959,14-15,0.987910
EMA23524.1@GCA_000336895.1,Sec/SPI,0.966111,25-26,0.942141
EMA23562.1@GCA_000336895.1,Sec/SPI,0.999004,23-24,0.981294
EMA23575.1@GCA_000336895.1,Sec/SPII,1.000023,21-22,0.982901
EMA23600.1@GCA_000336895.1,Sec/SPII,1.000059,17-18,0.988749
EMA23639.1@GCA_000336895.1,Sec/SPI,0.999128,19-20,0.979858
EMA23649.1@GCA_000336895.1,Tat/SPII,0.996100,26-27,0.825484
EMA23650.1@GCA_000336895.1,Sec/SPII,1.000065,19-20,0.991940
EMA23651.1@GCA_000336895.1,Tat/SPII,0.999107,20-21,0.857183
EMA23661.1@GCA_000336895.1,Tat/SPII,0.999400,20-21,0.852084
EMA23687.1@GCA_000336895.1,Sec/SPI,0.999095,18-19,0.977819
EMA23694.1@GCA_000336895.1,Tat/SPI,0.950713,40-41,0.581873
EMA23755.1@GCA_000336895.1,Sec/SPI,0.747647,26-27,0.849797
EMA23773.1@GCA_000336895.1,Sec/SPII,1.000037,17-18,0.994318
EMA23783.1@GCA_000336895.1,Sec/SPI,0.999164,21-22,0.979298
EMA24238.1@GCA_000336895.1,Tat/SPI,0.999578,34-35,0.724119
EMA24247.1@GCA_000336895.1,Sec/SPI,0.961037,30-31,0.921067
EMA24249.1@GCA_000336895.1,Tat/SPI,0.980383,39-40,0.845464
EMA24252.1@GCA_000336895.1,Tat/SPI,0.598955,65-66,0.348239
EMA24262.1@GCA_000336895.1,Tat/SPII,0.978015,22-23,0.808145
EMA24293.1@GCA_000336895.1,Tat/SPI,0.999984,26-27,0.930383
EMA24314.1@GCA_000336895.1,Tat/SPI,0.999981,26-27,0.933661
EMA24353.1@GCA_000336895.1,Sec/SPII,0.723534,17-18,0.703136
EMA24354.1@GCA_000336895.1,Tat/SPII,0.999211,21-22,0.845474
EMA24375.1@GCA_000336895.1,Sec/SPI,0.661592,59-60,0.000138
EMA24381.1@GCA_000336895.1,Sec/SPI,0.925750,19-20,0.788649
EMA24405.1@GCA_000336895.1,Sec/SPII,1.000036,14-15,0.991396
EMA24428.1@GCA_000336895.1,Sec/SPI,0.998934,22-23,0.937373
EMA24429.1@GCA_000336895.1,Sec/SPI,0.527660,31-32,0.422288
EMA24442.1@GCA_000336895.1,Tat/SPII,0.999820,23-24,0.838810
EMA24472.1@GCA_000336895.1,Tat/SPII,0.998571,35-36,0.840017
EMA24479.1@GCA_000336895.1,Tat/SPII,0.999741,29-30,0.840784
EMA24483.1@GCA_000336895.1,Tat/SPI,0.803396,30-31,0.577562
EMA24487.1@GCA_000336895.1,Tat/SPII,0.999884,27-28,0.847553
EMA24493.1@GCA_000336895.1,Tat/SPII,0.959281,20-21,0.823649
EMA24511.1@GCA_000336895.1,Sec/SPI,0.652578,26-27,0.758019
EMA24524.1@GCA_000336895.1,Sec/SPII,1.000052,19-20,0.995685
EMA24531.1@GCA_000336895.1,Tat/SPII,0.997280,22-23,0.843624
EMA24535.1@GCA_000336895.1,Sec/SPI,0.992320,30-31,0.852505
EMA24537.1@GCA_000336895.1,Sec/SPII,0.739591,5-6,0.726140
EMA24562.1@GCA_000336895.1,Sec/SPI,0.998954,25-26,0.803615
EMA24567.1@GCA_000336895.1,Sec/SPI,0.825141,18-19,0.521408
EMA24572.1@GCA_000336895.1,Sec/SPII,1.000008,18-19,0.991471
EMA24603.1@GCA_000336895.1,Sec/SPI,0.764014,43-44,0.701653
EMA24609.1@GCA_000336895.1,Tat/SPI,0.999941,28-29,0.902591
EMA24633.1@GCA_000336895.1,Sec/SPI,0.998890,27-28,0.972010
EMA24642.1@GCA_000336895.1,Sec/SPI,0.999022,33-34,0.635120
EMA24665.1@GCA_000336895.1,Tat/SPI,0.999985,28-29,0.926487
EMA24667.1@GCA_000336895.1,Tat/SPI,0.975565,40-41,0.546498
EMA24677.1@GCA_000336895.1,Sec/SPI,0.954943,12-13,0.928369
EMA24688.1@GCA_000336895.1,Sec/SPI,0.965707,23-24,0.904735
