query_organism,query_accession,query_protein_id,query_pfam_domain,query_start,query_end,target_accession,target_protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,rank_sequence,rank_structure,average_rank
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001591505.1,WP_082799662.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Neobacillus,Neobacillus niacini,Neobacillus niacini NBRC 15566,21,58,39.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_024259515.1,WP_302328531.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,JANBWE01,JANBWE01 sp024259515,Salirhabdus salicampi,46,35,40.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_014638355.1,WP_188390136.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Priestia_D,Priestia_D taiwanensis,Priestia taiwanensis,37,46,41.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_016890225.1,WP_204204444.1,Bacteria,Bacillota,Bacilli,Bacillales,SA4,Bacillus_BS,Bacillus_BS suaedaesalsae,Bacillus suaedaesalsae,19,64,41.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023511725.1,MCL6514194.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAIMAY01,JAIMAY01 sp023511725,Alicyclobacillus sp.,14,71,42.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017298635.1,WP_206656886.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B mengziensis,Alicyclobacillus mengziensis,45,40,42.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001570745.1,WP_067851168.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus mali,Alicyclobacillus mali NBRC 102425,50,41,45.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023705585.1,GIM47246.1,Bacteria,Bacillota,Bacilli,Tumebacillales,BOQE01,BOQE01,BOQE01 sp023705585,Alicyclobacillaceae bacterium TP075,54,47,50.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_022674245.1,WP_021297350.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidoterrestris,Alicyclobacillus acidoterrestris,41,60,50.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_019683615.1,MBX5437225.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JADGIC01,JADGIC01 sp019683615,Alicyclobacillaceae bacterium,72,32,52
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017329615.1,WP_236017864.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus suci,Alicyclobacillus suci,43,63,53
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017329615.1,WP_021298449.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus suci,Alicyclobacillus suci,24,87,55.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_013343715.1,WP_174728964.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Mesobacillus_A,Mesobacillus_A harenae,Mesobacillus harenae,55,59,57
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_944387405.1,CALXET010000002.1_218,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,UMGS1994,UMGS1994 sp944387405,uncultured Clostridia bacterium,77,39,58
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_002335525.1,WP_096184448.1,Bacteria,Bacillota,Bacilli,Tumebacillales,Effusibacillaceae,Effusibacillus,Effusibacillus lacus,Effusibacillus lacus,65,55,60
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_024294785.1,WP_254759810.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Ectobacillus,Ectobacillus sp024294785,Ectobacillus sp. SYSU M60031,57,66,61.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_905213875.1,CAJMJN010000023.1_5,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp905213875,uncultured Clostridium sp.,101,25,63
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_944386155.1,CALWZY010000005.1_15,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,UMGS1994,UMGS1994 sp944386155,uncultured Clostridia bacterium,89,38,63.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001399675.1,WP_054969226.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B ferrooxydans,Alicyclobacillus ferrooxydans,53,75,64
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001544355.1,WP_067625231.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidiphilus,Alicyclobacillus acidiphilus NBRC 100859,29,99,64
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_004366795.1,WP_134158769.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus sacchari,Alicyclobacillus sacchari,80,48,64
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000472905.1,WP_051374966.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_A,Alicyclobacillus_A pomorum,Alicyclobacillus pomorum DSM 14955,92,37,64.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900142255.1,WP_072873274.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_I,Alicyclobacillus_I montanus,Alicyclobacillus montanus,59,72,65.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000702485.1,WP_156039986.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_H,Alicyclobacillus_H macrosporangiidus_B,Alicyclobacillus macrosporangiidus CPP55,64,67,65.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017298635.1,WP_206655660.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B mengziensis,Alicyclobacillus mengziensis,79,52,65.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_000437215.1,CDE25670.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp000437215,Clostridium sp. CAG:440,90,42,66
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_017298655.1,QSO52420.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B curvatus,Alicyclobacillus curvatus,78,57,67.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001516615.1,WP_067718632.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Acidibacillaceae,Acidibacillus,Acidibacillus ferrooxidans_B,Acidibacillus ferrooxidans,58,82,70
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900107035.1,WP_244885146.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus hesperidum,Alicyclobacillus hesperidum,63,78,70.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000496285.1,WP_023441133.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A toyonensis,Bacillus toyonensis BCT-7112,73,69,71
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000219875.1,WP_237700008.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius_A,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1,52,92,72
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_944383305.1,CALWOZ010000087.1_3,Bacteria,Bacillota_A,Clostridia,Lachnospirales,CAG-274,Tyzzerella,Tyzzerella sp944383305,uncultured Clostridia bacterium,125,21,73
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_944393305.1,CALXZS010000147.1_1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-793,CAG-793 sp944393305,uncultured Clostridia bacterium,105,43,74
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001583695.1,WP_171842384.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A wiedmannii,Bacillus wiedmannii,67,83,75
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_900553985.1,USFW01000012.1_35,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp900553985,uncultured Clostridium sp.,124,30,77
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900111815.1,WP_071460843.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Bacillus_AZ,Bacillus_AZ mediterraneensis,Bacillus mediterraneensis,98,56,77
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021821025.1,JAKACY010000107.1_1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Acidibacillaceae,JAKACY01,JAKACY01 sp021821025,Firmicutes bacterium,94,61,77.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900116805.1,WP_245783930.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_H,Alicyclobacillus_H macrosporangiidus,Alicyclobacillus macrosporangiidus,31,124,77.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001399675.1,WP_054971212.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B ferrooxydans,Alicyclobacillus ferrooxydans,88,68,78
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900156755.1,WP_234969770.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus vulcanalis,Alicyclobacillus vulcanalis,51,107,79
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000430785.1,WP_081415210.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Ectobacillus,Ectobacillus panaciterrae,Ectobacillus panaciterrae DSM 19096,86,73,79.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021828865.1,JAJZCW010000025.1_34,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Acidibacillaceae,JAJZCL01,JAJZCL01 sp021828865,Firmicutes bacterium,87,74,80.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_000438255.1,CDE90504.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp000438255,Clostridium sp. CAG:389,110,53,81.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023457235.1,JAEWMK010000338.1_2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_J,Schinkia,Schinkia sp023457235,Firmicutes bacterium,60,103,81.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023511815.1,MCL6517720.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_H,Alicyclobacillus_H sp023511815,Alicyclobacillus sp.,34,132,83
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_024706985.1,WP_258110193.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAMCCX01,JAMCCX01 sp024706985,Alicyclobacillus sp. SP_1,66,100,83
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_934141445.1,CAKPCF010000002.1_47,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,Scatovivens,Scatovivens sp934141445,uncultured Clostridia bacterium,135,36,85.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_017510525.1,MBR3132474.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,UMGS1994,UMGS1994 sp017510525,Clostridia bacterium,96,77,86.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_003584005.1,RIV29225.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,QXHL01,QXHL01 sp003584005,Alicyclobacillaceae bacterium I2511,35,138,86.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023511725.1,MCL6515138.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAIMAY01,JAIMAY01 sp023511725,Alicyclobacillus sp.,95,80,87.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000024285.1,WP_245530661.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,48,127,87.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000496285.1,WP_000472907.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A toyonensis,Bacillus toyonensis BCT-7112,97,79,88
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021820805.1,JAKADF010000357.1_1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAKADF01,JAKADF01 sp021820805,Firmicutes bacterium,71,106,88.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_015097055.1,WP_200760033.1,Bacteria,Bacillota,Bacilli,Tumebacillales,Effusibacillaceae,Effusibacillus_A,Effusibacillus_A dendaii,Effusibacillus dendaii,62,118,90
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_021739485.1,WP_236818921.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_K,Alicyclobacillus_K tolerans,Alicyclobacillus tolerans,69,111,90
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000702485.1,WP_051663250.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_H,Alicyclobacillus_H macrosporangiidus_B,Alicyclobacillus macrosporangiidus CPP55,38,144,91
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_023715225.1,WP_251522199.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Robertmurraya,Robertmurraya korlensis_B,Robertmurraya korlensis,93,96,94.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_012840465.1,HHW36324.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_J,Schinkia,Schinkia sp012840465,Bacillales bacterium,56,134,95
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_003576525.1,WP_255416282.1,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,Rummeliibacillus sp003576525,Rummeliibacillus sp. POC4,74,123,98.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_002585305.1,WP_098996402.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Neobacillus,Neobacillus sp002585305,Bacillus sp. AFS037270,70,130,100
