query,target,pfam_domain,domain_type,normalized_score,rank
AGV99421.1@KF296717$Amidase_2:24-147,WP_003271071.1@GCF_002119445.1,Amidase_2,catalytic,25.14,118
AGY48041.1@KF669657$Peptidase_M15_4:71-135,WP_034652758.1@GCF_000832985.1,Peptidase_M15_4,catalytic,52.53,4
AGY48041.1@KF669657$VanY:18-121,WP_034652758.1@GCF_000832985.1,VanY,catalytic,44.5,2
AIA08697.1@KJ572844$Glyco_hydro_108:6-95,WP_000493681.1@GCF_000621645.1,Glyco_hydro_108,catalytic,18.15,427
AKU43363.1@KT001912$Amidase_3:5-188,WP_034649290.1@GCF_000832985.1,Amidase_3,catalytic,32.65,19
ALJ98013.1@KT852578$Amidase_2:43-169,WP_000742982.1@GCF_002119445.1,Amidase_2,catalytic,84.88,1
ALJ98013.1@KT852578$SH3_3:220-271,WP_000742982.1@GCF_002119445.1,SH3_3,cell wall binding,67.83,2
ALJ99026.1@KT588073$Glyco_hydro_108:20-104,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,92.61,2
ALJ99026.1@KT588073$PG_binding_3:107-193,WP_001984959.1@GCF_009759685.1,PG_binding_3,cell wall binding,86.66,3
AMR59806.1@KU726251$Glyco_hydro_108:10-94,NP_459021.1@GCF_000006945.2,Glyco_hydro_108,catalytic,28.91,223
AMR59806.1@KU726251$PG_binding_3:96-182,NP_459021.1@GCF_000006945.2,PG_binding_3,cell wall binding,39.88,21
AMR60071.1@KU836751$Amidase_3:3-181,WP_003211781.1@GCF_900186955.1,Amidase_3,catalytic,35.78,140
AMR60071.1@KU836751$LysM:208-251,WP_065098947.1@GCF_900186955.1,LysM,cell wall binding,43.51,742
AMR60071.1@KU836751$LysM:256-299,WP_003215781.1@GCF_900186955.1,LysM,cell wall binding,38.75,1431
ANM47645.1@KX077896$CHAP:343-433,AUC91164.1@GCA_002831545.1,CHAP,catalytic,17.34,11
ANT40094.1@KX190834$Amidase_2:18-141,WP_003271071.1@GCF_002119445.1,Amidase_2,catalytic,26.26,112
ANT43548.1@KX160208$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,94.74,1
ANT43548.1@KX160208$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,88.91,1
ANT43548.1@KX160208$LysM:386-429,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,79.79,1
ANT43648.1@KX160210$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,94.73,1
ANT43648.1@KX160210$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,87.11,1
ANT43648.1@KX160210$LysM:386-428,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,86.35,1
ANT44185.1@KX160220$Glyco_hydro_25:32-236,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,38.59,9
ANT44185.1@KX160220$LysM:351-395,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,90.72,1
ANT44185.1@KX160220$LysM:405-447,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,84.01,1
AOQ27692.1@KX578071$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
AOZ61692.1@KX961629$Amidase_2:21-142,WP_015945848.1@GCF_000021305.1,Amidase_2,catalytic,23.89,119
AOZ62319.1@KX961632$Amidase_2:20-143,WP_015945848.1@GCF_000021305.1,Amidase_2,catalytic,19.35,165
APD21566.1@KY065449$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.22,1
APD21566.1@KY065449$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD21566.1@KY065449$Choline_bind_1:217-234,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,77.97,1
APD21566.1@KY065449$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.11,1
APD21566.1@KY065449$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD21566.1@KY065449$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD21566.1@KY065449$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,90.26,1
APD21566.1@KY065449$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,92.06,1
APD21689.1@KY065451$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
APD21689.1@KY065451$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD21689.1@KY065451$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD21689.1@KY065451$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.11,1
APD21689.1@KY065451$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD21689.1@KY065451$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD21689.1@KY065451$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD21689.1@KY065451$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,92.06,1
APD21808.1@KY065453$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.86,1
APD21808.1@KY065453$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD21808.1@KY065453$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,66.45,1
APD21808.1@KY065453$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD21808.1@KY065453$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.24,1
APD21808.1@KY065453$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.54,1
APD21808.1@KY065453$Choline_bind_3:196-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,84.61,1
APD21808.1@KY065453$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,91.65,1
APD21865.1@KY065454$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,98.83,1
APD21865.1@KY065454$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD21865.1@KY065454$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD21865.1@KY065454$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD21865.1@KY065454$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD21865.1@KY065454$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD21865.1@KY065454$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD21865.1@KY065454$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD21969.1@KY065456$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
APD21969.1@KY065456$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD21969.1@KY065456$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.91,1
APD21969.1@KY065456$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD21969.1@KY065456$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD21969.1@KY065456$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD21969.1@KY065456$Choline_bind_3:196-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,91.55,1
APD21969.1@KY065456$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD22024.1@KY065457$Choline_bind_3:214-257,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,43.4,14
APD22024.1@KY065457$Choline_bind_3:254-299,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,35.95,24
APD22128.1@KY065459$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,96.04,1
APD22128.1@KY065459$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22128.1@KY065459$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD22128.1@KY065459$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.11,1
APD22128.1@KY065459$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,80.09,1
APD22128.1@KY065459$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD22128.1@KY065459$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD22128.1@KY065459$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,90.08,1
APD22176.1@KY065460$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,94.85,1
APD22176.1@KY065460$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22176.1@KY065460$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD22176.1@KY065460$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD22176.1@KY065460$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD22176.1@KY065460$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD22176.1@KY065460$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD22176.1@KY065460$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD22395.1@KY065464$Choline_bind_3:216-262,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,55.27,1
APD22503.1@KY065466$Choline_bind_3:214-256,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,42.78,14
APD22503.1@KY065466$Choline_bind_3:254-300,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,43.92,3
APD22603.1@KY065468$Choline_bind_3:214-257,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,46.75,6
APD22603.1@KY065468$Choline_bind_3:254-300,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,34.08,40
APD22763.1@KY065471$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.12,1
APD22763.1@KY065471$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22763.1@KY065471$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD22763.1@KY065471$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD22763.1@KY065471$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD22763.1@KY065471$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD22763.1@KY065471$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD22763.1@KY065471$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD22826.1@KY065472$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.22,1
APD22826.1@KY065472$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22826.1@KY065472$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,72.31,1
APD22826.1@KY065472$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD22826.1@KY065472$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,77.32,1
APD22826.1@KY065472$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.66,1
APD22826.1@KY065472$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,87.34,1
APD22826.1@KY065472$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,90.63,1
APD22890.1@KY065473$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,94.6,1
APD22890.1@KY065473$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22890.1@KY065473$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,74.79,1
APD22890.1@KY065473$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD22890.1@KY065473$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD22890.1@KY065473$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.27,1
APD22890.1@KY065473$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.82,1
APD22890.1@KY065473$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD22957.1@KY065474$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.22,1
APD22957.1@KY065474$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD22957.1@KY065474$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,74.79,1
APD22957.1@KY065474$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD22957.1@KY065474$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD22957.1@KY065474$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.27,1
APD22957.1@KY065474$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.82,1
APD22957.1@KY065474$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD23092.1@KY065476$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,94.15,1
APD23092.1@KY065476$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD23092.1@KY065476$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD23092.1@KY065476$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.11,1
APD23092.1@KY065476$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23092.1@KY065476$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD23092.1@KY065476$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD23092.1@KY065476$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,92.06,1
APD23270.1@KY065480$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,98.14,1
APD23270.1@KY065480$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD23270.1@KY065480$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,69.83,1
APD23270.1@KY065480$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,65.98,1
APD23270.1@KY065480$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23270.1@KY065480$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD23270.1@KY065480$Choline_bind_3:196-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,85.35,1
APD23270.1@KY065480$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,86.83,1
APD23316.1@KY065481$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
APD23316.1@KY065481$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD23316.1@KY065481$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD23316.1@KY065481$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD23316.1@KY065481$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23316.1@KY065481$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,81.62,1
APD23316.1@KY065481$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD23316.1@KY065481$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD23406.1@KY065483$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.13,1
APD23406.1@KY065483$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD23406.1@KY065483$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD23406.1@KY065483$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,78.37,1
APD23406.1@KY065483$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23406.1@KY065483$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.06,1
APD23406.1@KY065483$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD23406.1@KY065483$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,90.03,1
APD23508.1@KY065485$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,96.82,1
APD23508.1@KY065485$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,77.67,1
APD23508.1@KY065485$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,69.83,1
APD23508.1@KY065485$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,70.56,1
APD23508.1@KY065485$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23508.1@KY065485$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD23508.1@KY065485$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,83.81,1
APD23508.1@KY065485$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.71,1
APD23575.1@KY065486$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,94.85,1
APD23575.1@KY065486$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD23575.1@KY065486$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,81.78,1
APD23575.1@KY065486$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD23575.1@KY065486$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23575.1@KY065486$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.91,1
APD23575.1@KY065486$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,92.29,1
APD23575.1@KY065486$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD23689.1@KY065488$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,96.26,1
APD23689.1@KY065488$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,77.67,1
APD23689.1@KY065488$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,69.83,1
APD23689.1@KY065488$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,65.98,1
APD23689.1@KY065488$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD23689.1@KY065488$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD23689.1@KY065488$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,83.81,1
APD23689.1@KY065488$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,86.83,1
APD24110.1@KY065496$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
APD24110.1@KY065496$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD24110.1@KY065496$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,74.79,1
APD24110.1@KY065496$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD24110.1@KY065496$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD24110.1@KY065496$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.27,1
APD24110.1@KY065496$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.82,1
APD24110.1@KY065496$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD24248.1@KY065498$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.03,1
APD24248.1@KY065498$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
APD24248.1@KY065498$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,84.1,1
APD24248.1@KY065498$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
APD24248.1@KY065498$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
APD24248.1@KY065498$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.62,1
APD24248.1@KY065498$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.8,1
APD24248.1@KY065498$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
APD24300.1@KY065499$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,96.13,1
APD24300.1@KY065499$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
