assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,id
GCA_000224475.1,AEN05014.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN05014.1@GCA_000224475.1
GCA_000224475.1,AEN05231.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN05231.1@GCA_000224475.1
GCA_000224475.1,AEN05397.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN05397.1@GCA_000224475.1
GCA_000224475.1,AEN05859.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN05859.1@GCA_000224475.1
GCA_000224475.1,AEN06025.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN06025.1@GCA_000224475.1
GCA_000246735.1,EHR75989.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735,EHR75989.1@GCA_000246735.1
GCA_000246735.1,EHR77081.1,PF01551.25,Peptidase_M23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735,EHR77081.1@GCA_000246735.1
GCA_000246735.1,EHR77117.1,PF00246.27,Peptidase_M14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735,EHR77117.1@GCA_000246735.1
GCA_000247545.1,AFA39740.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum oguniense,AFA39740.1@GCA_000247545.1
GCA_000270325.1,BAJ51425.1,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,Caldarchaeaceae,Caldarchaeum,Caldarchaeum subterraneum_A,BAJ51425.1@GCA_000270325.1
GCA_000306725.1,AFV23533.1,PF01425.24,Amidase,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,AFV23533.1@GCA_000306725.1
GCA_000306725.1,AFV25192.1,PF01551.25,Peptidase_M23,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,AFV25192.1@GCA_000306725.1
GCA_000336895.1,EMA18660.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula argentinensis,EMA18660.1@GCA_000336895.1
GCA_000336895.1,EMA19244.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula argentinensis,EMA19244.1@GCA_000336895.1
GCA_000336895.1,EMA19244.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula argentinensis,EMA19244.1@GCA_000336895.1
GCA_000337115.1,ELZ09089.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ09089.1@GCA_000337115.1
GCA_000337115.1,ELZ09727.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ09727.1@GCA_000337115.1
GCA_000337115.1,ELZ09727.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ09727.1@GCA_000337115.1
GCA_000337115.1,ELZ10540.1,PF01551.25,Peptidase_M23,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ10540.1@GCA_000337115.1
GCA_000337115.1,ELZ11818.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ11818.1@GCA_000337115.1
GCA_000337115.1,ELZ15632.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ15632.1@GCA_000337115.1
GCA_000337115.1,ELZ15632.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ15632.1@GCA_000337115.1
GCA_000337115.1,ELZ15669.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,ELZ15669.1@GCA_000337115.1
GCA_000350305.1,AGI48330.1,PF01425.24,Amidase,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp000350305,AGI48330.1@GCA_000350305.1
GCA_000375685.1,AQVQ01000042.1_6,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei,Gearchaeales,Gearchaeaceae,AAA261-N23,AAA261-N23 sp000375685,AQVQ01000042.1_6@GCA_000375685.1
GCA_000389735.1,APJY01000001.1_839,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Acd1,Acd1 sp000389735,APJY01000001.1_839@GCA_000389735.1
GCA_000389735.1,APJY01000002.1_382,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Acd1,Acd1 sp000389735,APJY01000002.1_382@GCA_000389735.1
GCA_000402075.1,ARWO01000032.1_199,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp000402075,ARWO01000032.1_199@GCA_000402075.1
GCA_000402355.1,AQRS01000039.1_29,PF01425.24,Amidase,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeaceae,Iainarchaeum,Iainarchaeum andersonii,AQRS01000039.1_29@GCA_000402355.1
GCA_000402515.1,AQRL01000014.1_1,PF01520.21,Amidase_3,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000014.1_1@GCA_000402515.1
GCA_000402515.1,AQRL01000019.1_29,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000019.1_29@GCA_000402515.1
GCA_000402515.1,AQRL01000021.1_19,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000021.1_19@GCA_000402515.1
GCA_000402515.1,AQRL01000023.1_1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000023.1_1@GCA_000402515.1
GCA_000402515.1,AQRL01000030.1_9,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000030.1_9@GCA_000402515.1
GCA_000402515.1,AQRL01000035.1_109,PF00877.22,NLPC_P60,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000035.1_109@GCA_000402515.1
GCA_000402515.1,AQRL01000038.1_91,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17,SCGC-AAA011-G17 sp000402515,AQRL01000038.1_91@GCA_000402515.1
GCA_000402775.1,AQSC01000053.1_20,PF01425.24,Amidase,Archaea,Altiarchaeota,Altiarchaeia,IMC4,SCGC-AAA252-I15,SCGC-AAA252-I15,SCGC-AAA252-I15 sp000402775,AQSC01000053.1_20@GCA_000402775.1
GCA_000405225.1,ASMP01000001.1_30,PF02557.20,VanY,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01,ASMP01 sp000405225,ASMP01000001.1_30@GCA_000405225.1
GCA_000405245.1,ASMQ01000005.1_37,PF01551.25,Peptidase_M23,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,Aenigmatarchaeum,Aenigmatarchaeum subterraneum,ASMQ01000005.1_37@GCA_000405245.1
GCA_000405245.1,ASMQ01000007.1_4,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,Aenigmatarchaeum,Aenigmatarchaeum subterraneum,ASMQ01000007.1_4@GCA_000405245.1
GCA_000415965.1,ERG90997.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_A,ERG90997.1@GCA_000415965.1
GCA_000415965.1,ERG91834.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_A,ERG91834.1@GCA_000415965.1
GCA_000415965.1,ERG91834.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_A,ERG91834.1@GCA_000415965.1
GCA_000415985.1,ERG94090.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_B,ERG94090.1@GCA_000415985.1
GCA_000415985.1,ERG94090.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_B,ERG94090.1@GCA_000415985.1
GCA_000415985.1,ERG94369.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_B,ERG94369.1@GCA_000415985.1
GCA_000415985.1,ERG96717.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi_B,ERG96717.1@GCA_000415985.1
GCA_000416005.1,ERG97781.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum sp000416005,ERG97781.1@GCA_000416005.1
GCA_000416005.1,ERG98050.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum sp000416005,ERG98050.1@GCA_000416005.1
GCA_000416005.1,ERG99301.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum sp000416005,ERG99301.1@GCA_000416005.1
GCA_000416005.1,ERG99777.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum sp000416005,ERG99777.1@GCA_000416005.1
GCA_000416085.1,ERH09187.1,PF02016.18,Peptidase_S66,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp000416085,ERH09187.1@GCA_000416085.1
GCA_000416085.1,ERH09187.1,PF17676.4,Peptidase_S66C,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp000416085,ERH09187.1@GCA_000416085.1
GCA_000416085.1,ERH10253.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp000416085,ERH10253.1@GCA_000416085.1
GCA_000416085.1,ERH10626.1,PF00246.27,Peptidase_M14,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp000416085,ERH10626.1@GCA_000416085.1
GCA_000416085.1,ERH11012.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp000416085,ERH11012.1@GCA_000416085.1
GCA_000494145.1,AWOE01000007.1_35,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,HR02,JGI-OTU-1,JGI-OTU-1 sp000494145,AWOE01000007.1_35@GCA_000494145.1
GCA_000495735.1,ESQ24804.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Acidilobus,Acidilobus sp000495735,ESQ24804.1@GCA_000495735.1
GCA_000495735.1,ESQ25521.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Acidilobus,Acidilobus sp000495735,ESQ25521.1@GCA_000495735.1
GCA_000496135.1,EQB66891.1,PF17676.4,Peptidase_S66C,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-000496135,GCA-000496135 sp000496135,EQB66891.1@GCA_000496135.1
GCA_000496135.1,EQB66892.1,PF17676.4,Peptidase_S66C,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-000496135,GCA-000496135 sp000496135,EQB66892.1@GCA_000496135.1
GCA_000496195.1,ESS05266.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,A07HB70,A07HB70 sp000496195,ESS05266.1@GCA_000496195.1
GCA_000496195.1,ESS05597.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,A07HB70,A07HB70 sp000496195,ESS05597.1@GCA_000496195.1
GCA_000496195.1,ESS06333.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,A07HB70,A07HB70 sp000496195,ESS06333.1@GCA_000496195.1
GCA_000496195.1,ESS07248.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,A07HB70,A07HB70 sp000496195,ESS07248.1@GCA_000496195.1
GCA_000496215.1,ESS09997.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halonotius,Halonotius sp000496215,ESS09997.1@GCA_000496215.1
GCA_000496235.1,ESS11299.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,J07HR59,J07HR59 sp000496235,ESS11299.1@GCA_000496235.1
GCA_000496235.1,ESS11867.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,J07HR59,J07HR59 sp000496235,ESS11867.1@GCA_000496235.1
GCA_000496235.1,ESS12274.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,J07HR59,J07HR59 sp000496235,ESS12274.1@GCA_000496235.1
GCA_000499765.1,CDG64152.1,PF01425.24,Amidase,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765,CDG64152.1@GCA_000499765.1
GCA_000499765.1,CDG65841.1,PF01551.25,Peptidase_M23,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765,CDG65841.1@GCA_000499765.1
GCA_000508305.1,AHC50859.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius_A,AHC50859.1@GCA_000508305.1
GCA_000508305.1,AHC51251.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius_A,AHC51251.1@GCA_000508305.1
GCA_000508305.1,AHC51598.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius_A,AHC51598.1@GCA_000508305.1
GCA_000508305.1,AHC52183.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius_A,AHC52183.1@GCA_000508305.1
GCA_000565255.1,EWG07076.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Aramenus,Aramenus sulfurataquae,EWG07076.1@GCA_000565255.1
GCA_000565255.1,EWG07486.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Aramenus,Aramenus sulfurataquae,EWG07486.1@GCA_000565255.1
GCA_000690595.2,OAQ52474.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,OAQ52474.1@GCA_000690595.2
GCA_000690595.2,OAQ52738.1,PF01551.25,Peptidase_M23,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,OAQ52738.1@GCA_000690595.2
GCA_000690595.2,OAQ53421.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,OAQ53421.1@GCA_000690595.2
GCA_000690595.2,OAQ53865.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema mahii,OAQ53865.1@GCA_000690595.2
GCA_000789255.1,AIY89205.1,PF01425.24,Amidase,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus acetivorans,AIY89205.1@GCA_000789255.1
GCA_000806015.1,KHO55176.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01,JWKY01 sp000806015,KHO55176.1@GCA_000806015.1
GCA_000806015.1,KHO55350.1,PF01510.28,Amidase_2,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01,JWKY01 sp000806015,KHO55350.1@GCA_000806015.1
GCA_000806115.1,KHO47447.1,PF00877.22,NLPC_P60,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115,KHO47447.1@GCA_000806115.1
GCA_000806115.1,KHO47637.1,PF01464.23,SLT,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115,KHO47637.1@GCA_000806115.1
GCA_000806115.1,KHO48188.1,PF01425.24,Amidase,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115,KHO48188.1@GCA_000806115.1
GCA_000806115.1,KHO48258.1,PF01464.23,SLT,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115,KHO48258.1@GCA_000806115.1
GCA_000830275.1,AJF59558.1,PF01425.24,Amidase,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,GW2011-AR10,GW2011-AR10,GW2011-AR10 sp000830275,AJF59558.1@GCA_000830275.1
GCA_000830275.1,AJF60229.1,PF01520.21,Amidase_3,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,GW2011-AR10,GW2011-AR10,GW2011-AR10 sp000830275,AJF60229.1@GCA_000830275.1
GCA_000830295.1,AJF61207.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,GW2011-AR15,GW2011-AR15 sp000830295,AJF61207.1@GCA_000830295.1
GCA_000830295.1,AJF61610.1,PF01551.25,Peptidase_M23,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,GW2011-AR15,GW2011-AR15 sp000830295,AJF61610.1@GCA_000830295.1
GCA_000830295.1,AJF61611.1,PF01183.23,Glyco_hydro_25,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,GW2011-AR15,GW2011-AR15 sp000830295,AJF61611.1@GCA_000830295.1
GCA_000830315.1,AJF62368.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20,GW2011-AR20 sp000830315,AJF62368.1@GCA_000830315.1
GCA_000830315.1,AJF63038.1,PF01464.23,SLT,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20,GW2011-AR20 sp000830315,AJF63038.1@GCA_000830315.1
GCA_000960885.1,KJR73898.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus sp000960885,KJR73898.1@GCA_000960885.1
GCA_000965745.1,AKA48708.1,PF01425.24,Amidase,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-965745,GCA-965745 sp000965745,AKA48708.1@GCA_000965745.1
GCA_000965745.1,AKA49166.1,PF01425.24,Amidase,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-965745,GCA-965745 sp000965745,AKA49166.1@GCA_000965745.1
