target_name,accession,query_name,accession_query,full_evalue,full_score,full_bias,dom_evalue,dom_score,dom_bias,exp,reg,clu,ov,env,dom,rep,inc
WP_148680120.1@GCF_000018465.1,GCF_000018465.1,newDdlB,-,4.2e-52,189.9,0.3,9.1e-52,188.8,0.0,1.6,2,0,0,2,2,1,1
MBW3012456.1@GCA_019323415.1,GCA_019323415.1,newDdlB,-,4.4e-52,189.8,0.0,5.9e-52,189.4,0.0,1.1,1,0,0,1,1,1,1
NHJ01503.1@GCA_011364965.1,GCA_011364965.1,newDdlB,-,4.4e-52,189.8,0.0,5.6e-52,189.5,0.0,1.0,1,0,0,1,1,1,1
KXH70539.1@GCA_001563325.1,GCA_001563325.1,newDdlB,-,4.5e-52,189.8,0.0,5.8e-52,189.4,0.0,1.0,1,0,0,1,1,1,1
MBN1501970.1@GCA_016928835.1,GCA_016928835.1,newDdlB,-,5.8e-52,189.4,0.0,2e-51,187.6,0.0,1.7,2,0,0,2,2,1,1
MBS7640235.1@GCA_018396995.1,GCA_018396995.1,newDdlB,-,6.3e-52,189.3,0.0,8e-52,188.9,0.0,1.0,1,0,0,1,1,1,1
DAHG01000001.1_13@GCA_002495885.1,GCA_002495885.1,newDdlB,-,6.4e-52,189.3,0.0,8.5e-52,188.9,0.0,1.1,1,0,0,1,1,1,1
PIU29819.1@GCA_002779235.1,GCA_002779235.1,newDdlB,-,6.4e-52,189.2,0.0,8.7e-52,188.8,0.0,1.0,1,0,0,1,1,1,1
MBS7645680.1@GCA_018396725.1,GCA_018396725.1,newDdlB,-,6.7e-52,189.2,0.0,8.9e-52,188.8,0.0,1.0,1,0,0,1,1,1,1
WP_249111132.1@GCF_018128925.1,GCF_018128925.1,newDdlB,-,8.2e-52,188.9,0.1,1.3e-51,188.2,0.1,1.2,1,0,0,1,1,1,1
MBN2422838.1@GCA_016935095.1,GCA_016935095.1,newDdlB,-,9.7e-52,188.7,0.0,2.4e-51,187.4,0.0,1.6,2,0,0,2,2,1,1
WOYO01000075.1_34@GCA_011620765.1,GCA_011620765.1,newDdlB,-,1.4e-51,188.2,0.0,1.8e-51,187.8,0.0,1.1,1,0,0,1,1,1,1
MBS3097478.1@GCA_018303725.1,GCA_018303725.1,newDdlB,-,1.7e-51,187.9,0.0,2.2e-51,187.5,0.0,1.0,1,0,0,1,1,1,1
MBI1657800.1@GCA_016126025.1,GCA_016126025.1,newDdlB,-,1.8e-51,187.8,0.0,2.9e-51,187.1,0.0,1.2,1,0,0,1,1,1,1
HIH54403.1@GCA_013330595.1,GCA_013330595.1,newDdlB,-,2.3e-51,187.4,0.0,3.1e-51,187.0,0.0,1.1,1,0,0,1,1,1,1
PJB73965.1@GCA_002789635.1,GCA_002789635.1,newDdlB,-,2.7e-51,187.2,0.0,3.4e-51,186.9,0.0,1.1,1,0,0,1,1,1,1
MBU0627710.1@GCA_018813685.1,GCA_018813685.1,newDdlB,-,2.7e-51,187.2,0.0,3.5e-51,186.9,0.0,1.1,1,0,0,1,1,1,1
MBM3308731.1@GCA_016867655.1,GCA_016867655.1,newDdlB,-,3e-51,187.0,0.0,4e-51,186.7,0.0,1.0,1,0,0,1,1,1,1
PJER01000004.1_32@GCA_002825465.1,GCA_002825465.1,newDdlB,-,3.2e-51,187.0,0.0,4.2e-51,186.6,0.0,1.0,1,0,0,1,1,1,1
MBI2129880.1@GCA_016180285.1,GCA_016180285.1,newDdlB,-,4.2e-51,186.6,0.0,2.9e-26,105.0,0.0,2.0,1,1,1,2,2,2,2
MCS7113446.1@GCA_025058595.1,GCA_025058595.1,newDdlB,-,6.3e-51,186.0,0.0,8.2e-51,185.6,0.0,1.0,1,0,0,1,1,1,1
MBD3206737.1@GCA_014730055.1,GCA_014730055.1,newDdlB,-,6.8e-51,185.9,0.0,9.1e-51,185.5,0.0,1.1,1,0,0,1,1,1,1
JAEOUL010000127.1_5@GCA_016839345.1,GCA_016839345.1,newDdlB,-,6.9e-51,185.9,0.0,9.2e-51,185.5,0.0,1.0,1,0,0,1,1,1,1
HII07246.1@GCA_013329455.1,GCA_013329455.1,newDdlB,-,7.8e-51,185.7,0.0,9.999999999999999e-51,185.3,0.0,1.1,1,0,0,1,1,1,1
MBN2154853.1@GCA_016933055.1,GCA_016933055.1,newDdlB,-,8.7e-51,185.5,0.0,1.1e-50,185.2,0.0,1.0,1,0,0,1,1,1,1
SKGM01000070.1_1@GCA_007117455.1,GCA_007117455.1,newDdlB,-,9.1e-51,185.5,0.0,1.5e-50,184.8,0.0,1.3,1,0,0,1,1,1,1
MCM2325620.1@GCA_023701075.1,GCA_023701075.1,newDdlB,-,9.8e-51,185.4,0.2,1.2e-50,185.0,0.2,1.0,1,0,0,1,1,1,1
JAEOUK010000435.1_8@GCA_016839385.1,GCA_016839385.1,newDdlB,-,9.999999999999999e-51,185.3,0.0,1.4e-50,184.8,0.0,1.1,1,0,0,1,1,1,1
MCE2508755.1@GCA_021296165.1,GCA_021296165.1,newDdlB,-,9.999999999999999e-51,185.3,0.0,1.6e-50,184.6,0.0,1.2,1,0,0,1,1,1,1
MBS3164917.1@GCA_018302335.1,GCA_018302335.1,newDdlB,-,1.2e-50,185.0,0.0,2.6e-39,147.8,0.0,2.6,2,1,0,2,2,2,2
JAEOUM010000197.1_12@GCA_016839275.1,GCA_016839275.1,newDdlB,-,1.4e-50,184.9,0.0,1.8e-50,184.5,0.0,1.1,1,0,0,1,1,1,1
MBN2157252.1@GCA_016933055.1,GCA_016933055.1,newDdlB,-,1.4e-50,184.9,0.0,1.9999999999999998e-50,184.4,0.0,1.1,1,0,0,1,1,1,1
JAEOUG010000085.1_6@GCA_016839445.1,GCA_016839445.1,newDdlB,-,1.5e-50,184.7,0.0,1.9999999999999998e-50,184.3,0.0,1.0,1,0,0,1,1,1,1
SKGM01000070.1_2@GCA_007117455.1,GCA_007117455.1,newDdlB,-,1.5e-50,184.7,0.0,2.3e-50,184.1,0.0,1.1,1,0,0,1,1,1,1
NWF94786.1@GCA_013388835.1,GCA_013388835.1,newDdlB,-,1.7e-50,184.6,0.0,2.3e-50,184.2,0.0,1.0,1,0,0,1,1,1,1
DAQG01000075.1_31@GCA_002502785.1,GCA_002502785.1,newDdlB,-,1.7e-50,184.6,0.0,2.3e-50,184.2,0.0,1.1,1,0,0,1,1,1,1
KRO30203.1@GCA_001437625.1,GCA_001437625.1,newDdlB,-,1.7e-50,184.6,0.0,3.8e-50,183.4,0.0,1.5,2,0,0,2,2,1,1
MCA9811260.1@GCA_020431985.1,GCA_020431985.1,newDdlB,-,1.7e-50,184.6,0.0,2.9e-50,183.8,0.0,1.2,1,0,0,1,1,1,1
TDA34978.1@GCA_004347965.1,GCA_004347965.1,newDdlB,-,1.9e-50,184.5,0.0,2.4e-50,184.1,0.0,1.0,1,0,0,1,1,1,1
MCS7120022.1@GCA_025059045.1,GCA_025059045.1,newDdlB,-,1.9999999999999998e-50,184.3,0.0,2.6e-50,184.0,0.0,1.0,1,0,0,1,1,1,1
PWNH01000115.1_4@GCA_003557905.1,GCA_003557905.1,newDdlB,-,2.1e-50,184.3,0.0,3e-50,183.8,0.0,1.2,1,0,0,1,1,1,1
PIU29818.1@GCA_002779235.1,GCA_002779235.1,newDdlB,-,2.1e-50,184.3,0.1,2.8e-50,183.9,0.1,1.0,1,0,0,1,1,1,1
DAEG01000008.1_14@GCA_002495235.1,GCA_002495235.1,newDdlB,-,2.2e-50,184.2,0.0,2.9e-50,183.8,0.0,1.0,1,0,0,1,1,1,1
NHI89585.1@GCA_011364905.1,GCA_011364905.1,newDdlB,-,2.3e-50,184.1,0.0,3e-50,183.8,0.0,1.0,1,0,0,1,1,1,1
TFG19394.1@GCA_004524545.1,GCA_004524545.1,newDdlB,-,2.4e-50,184.1,0.0,3.1e-50,183.7,0.0,1.0,1,0,0,1,1,1,1
MBU5690237.1@GCA_018920365.1,GCA_018920365.1,newDdlB,-,2.7e-50,183.9,0.0,5.4e-50,182.9,0.0,1.4,1,1,0,1,1,1,1
JAEOUK010000435.1_7@GCA_016839385.1,GCA_016839385.1,newDdlB,-,2.9e-50,183.8,0.0,4.2e-50,183.3,0.0,1.1,1,0,0,1,1,1,1
TFG29615.1@GCA_004524565.1,GCA_004524565.1,newDdlB,-,2.9e-50,183.8,0.0,3.9e-50,183.4,0.0,1.0,1,0,0,1,1,1,1
MBS7610714.1@GCA_018396755.1,GCA_018396755.1,newDdlB,-,3e-50,183.8,0.0,3.6e-50,183.5,0.0,1.0,1,0,0,1,1,1,1
MBN2336619.1@GCA_016934355.1,GCA_016934355.1,newDdlB,-,3.2e-50,183.7,0.0,4.4e-50,183.2,0.0,1.1,1,0,0,1,1,1,1
MYH03539.1@GCA_009843815.1,GCA_009843815.1,newDdlB,-,3.2e-50,183.7,0.0,5.4e-50,182.9,0.0,1.3,1,0,0,1,1,1,1
MCR3883968.1@GCA_024649985.1,GCA_024649985.1,newDdlB,-,3.3e-50,183.6,0.0,4.3e-50,183.3,0.0,1.1,1,0,0,1,1,1,1
KUK44627.1@GCA_001509375.1,GCA_001509375.1,newDdlB,-,3.6e-50,183.5,0.0,5.1e-50,183.0,0.0,1.1,1,0,0,1,1,1,1
MBN1391164.1@GCA_016928095.1,GCA_016928095.1,newDdlB,-,3.7e-50,183.5,0.0,5.1e-50,183.0,0.0,1.1,1,0,0,1,1,1,1
TFG33866.1@GCA_004524595.1,GCA_004524595.1,newDdlB,-,4.1e-50,183.3,0.0,5.3e-50,183.0,0.0,1.0,1,0,0,1,1,1,1
WP_182134468.1@GCF_014078545.1,GCF_014078545.1,newDdlB,-,4.3e-50,183.3,0.0,9.3e-50,182.2,0.0,1.5,1,0,0,1,1,1,1
MBL7054408.1@GCA_016784195.1,GCA_016784195.1,newDdlB,-,4.5e-50,183.2,0.0,9e-50,182.2,0.0,1.4,1,0,0,1,1,1,1
RDE13838.1@GCA_003345595.1,GCA_003345595.1,newDdlB,-,4.9e-50,183.1,0.0,6.5e-50,182.7,0.0,1.0,1,0,0,1,1,1,1
MBW2984412.1@GCA_019322805.1,GCA_019322805.1,newDdlB,-,4.9e-50,183.1,0.0,7.9e-50,182.4,0.0,1.2,1,0,0,1,1,1,1
MBN1544455.1@GCA_016929255.1,GCA_016929255.1,newDdlB,-,5.1e-50,183.0,0.0,1.7e-38,145.2,0.0,2.9,3,1,0,3,3,2,2
NHI82829.1@GCA_011364985.1,GCA_011364985.1,newDdlB,-,5.2e-50,183.0,0.0,6.9e-50,182.6,0.0,1.0,1,0,0,1,1,1,1
ODS37082.1@GCA_001723855.1,GCA_001723855.1,newDdlB,-,5.3e-50,183.0,0.0,8.5e-50,182.3,0.0,1.2,1,0,0,1,1,1,1
PJET01000041.1_8@GCA_002825515.1,GCA_002825515.1,newDdlB,-,6.1e-50,182.8,0.0,8.1e-50,182.4,0.0,1.0,1,0,0,1,1,1,1
JAEORN010000304.1_6@GCA_016840825.1,GCA_016840825.1,newDdlB,-,7e-50,182.6,0.0,8.4e-50,182.3,0.0,1.1,1,0,0,1,1,1,1
RDJ34322.1@GCA_003352285.1,GCA_003352285.1,newDdlB,-,7e-50,182.6,0.0,1.5999999999999998e-49,181.4,0.0,1.5,1,0,0,1,1,1,1
JAEOTI010000169.1_2@GCA_016839955.1,GCA_016839955.1,newDdlB,-,7.4e-50,182.5,0.0,1.1e-49,181.9,0.0,1.2,1,0,0,1,1,1,1
RDE17160.1@GCA_003345555.1,GCA_003345555.1,newDdlB,-,7.999999999999999e-50,182.4,0.0,1.1e-49,182.0,0.0,1.0,1,0,0,1,1,1,1
MBU2561480.1@GCA_018830225.1,GCA_018830225.1,newDdlB,-,8.2e-50,182.3,0.0,1.1e-38,145.8,0.0,2.7,2,1,0,2,2,2,2
MBW2989397.1@GCA_019322475.1,GCA_019322475.1,newDdlB,-,9.3e-50,182.2,0.0,1.4e-49,181.5,0.0,1.2,1,0,0,1,1,1,1
MBU1031258.1@GCA_018817005.1,GCA_018817005.1,newDdlB,-,9.9e-50,182.1,0.0,2.4e-49,180.8,0.0,1.5,2,0,0,2,2,1,1
MBW2975467.1@GCA_019323195.1,GCA_019323195.1,newDdlB,-,1.1e-49,182.0,0.0,1.4e-49,181.6,0.0,1.0,1,0,0,1,1,1,1
PXF61792.1@GCA_003194445.1,GCA_003194445.1,newDdlB,-,1.1e-49,182.0,0.0,1.8e-49,181.2,0.0,1.2,1,0,0,1,1,1,1
UEC43545.1@GCA_020844795.1,GCA_020844795.1,newDdlB,-,1.1e-49,181.9,0.0,1.4999999999999998e-49,181.5,0.0,1.1,1,0,0,1,1,1,1
MBN1784937.1@GCA_016930555.1,GCA_016930555.1,newDdlB,-,1.2e-49,181.8,0.0,1.4999999999999998e-49,181.5,0.0,1.0,1,0,0,1,1,1,1
KXH74370.1@GCA_001563335.1,GCA_001563335.1,newDdlB,-,1.2e-49,181.7,0.0,1.5999999999999998e-49,181.4,0.0,1.0,1,0,0,1,1,1,1
MBS7634309.1@GCA_018396555.1,GCA_018396555.1,newDdlB,-,1.3e-49,181.7,0.0,1.6999999999999998e-49,181.3,0.0,1.0,1,0,0,1,1,1,1
MBN2368313.1@GCA_016934775.1,GCA_016934775.1,newDdlB,-,1.3e-49,181.7,1.9,2.5e-32,124.9,0.2,3.5,2,2,0,2,2,2,2
MCB2172804.1@GCA_020444005.1,GCA_020444005.1,newDdlB,-,1.3e-49,181.7,0.0,1.8e-49,181.2,0.0,1.1,1,0,0,1,1,1,1
MBN1391165.1@GCA_016928095.1,GCA_016928095.1,newDdlB,-,1.4999999999999998e-49,181.5,0.0,2.0000000000000003e-49,181.1,0.0,1.1,1,0,0,1,1,1,1
RDE16776.1@GCA_003345545.1,GCA_003345545.1,newDdlB,-,1.4999999999999998e-49,181.5,0.0,1.8e-49,181.2,0.0,1.1,1,0,0,1,1,1,1
JAEOUH010000058.1_13@GCA_016839365.1,GCA_016839365.1,newDdlB,-,1.5999999999999998e-49,181.4,0.0,1.6999999999999998e-49,181.3,0.0,1.0,1,0,0,1,1,1,1
JAEORO010000052.1_6@GCA_016840855.1,GCA_016840855.1,newDdlB,-,1.5999999999999998e-49,181.4,0.0,2.0000000000000003e-49,181.1,0.0,1.0,1,0,0,1,1,1,1
MBU0627711.1@GCA_018813685.1,GCA_018813685.1,newDdlB,-,2.8e-49,180.6,0.0,3.7e-49,180.2,0.0,1.1,1,0,0,1,1,1,1
DASC01000064.1_15@GCA_002503595.1,GCA_002503595.1,newDdlB,-,3.0999999999999996e-49,180.4,0.0,4.8999999999999995e-49,179.8,0.0,1.2,1,0,0,1,1,1,1
MCL4436182.1@GCA_023379805.1,GCA_023379805.1,newDdlB,-,4.099999999999999e-49,180.0,0.0,5.0999999999999995e-49,179.7,0.0,1.0,1,0,0,1,1,1,1
CAIKWG010000005.1_26@GCA_903831045.1,GCA_903831045.1,newDdlB,-,5.000000000000001e-49,179.7,0.0,6.7e-49,179.3,0.0,1.1,1,0,0,1,1,1,1
MBU4069977.1@GCA_018898425.1,GCA_018898425.1,newDdlB,-,5.4999999999999996e-49,179.6,0.0,8.599999999999999e-49,179.0,0.0,1.2,1,0,0,1,1,1,1
MBS7654083.1@GCA_018396435.1,GCA_018396435.1,newDdlB,-,6.1e-49,179.5,0.0,7.799999999999999e-49,179.1,0.0,1.0,1,0,0,1,1,1,1
MBN1682764.1@GCA_016930055.1,GCA_016930055.1,newDdlB,-,6.399999999999999e-49,179.4,0.0,1e-48,178.8,0.0,1.2,1,0,0,1,1,1,1
