DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PGH proteins
GCA_018433835.1,-1
GCF_023566055.1,-1
GCF_900116205.1,-1
GCF_001971705.1,-1
GCF_004765815.2,1
GCA_018263335.1,-1
GCA_012520015.1,-1
GCF_000013445.1,-1
GCA_000496195.1,-1
GCA_003158275.1,-1
GCA_016930255.1,-1
GCF_020097815.1,-1
GCA_003157895.1,-1
GCA_020793555.1,-1
GCA_003601795.1,-1
GCA_001509375.1,-1
GCA_003022745.1,-1
GCF_000403645.1,-1
GCF_004363215.1,-1
GCF_900108505.1,-1
GCF_020217425.1,-1
GCF_001625445.1,1
GCA_023396365.1,-1
GCA_003034855.1,-1
GCA_003021755.1,-1
GCA_902158745.1,-1
GCA_003023565.1,-1
GCF_003990725.2,-1
GCF_900110465.1,-1
GCF_021233435.1,-1
GCF_001488575.1,-1
GCF_010119205.1,-1
GCA_009776675.1,-1
GCF_003841465.1,-1
GCF_014647415.1,-1
GCF_000685155.1,-1
GCA_016935475.1,-1
GCA_002067755.1,-1
GCF_001593955.1,-1
GCA_004347865.1,-1
GCF_024204665.1,-1
GCF_000008665.1,-1
GCA_017399555.1,-1
GCA_011620785.1,-1
GCF_013401515.1,-1
GCF_014647455.2,-1
GCA_011045995.1,-1
GCA_003023185.1,-1
GCA_002503845.1,-1
GCA_002067895.1,-1
GCA_905171695.1,-1
GCF_002844195.1,1
GCF_000470655.1,-1
GCF_002487355.1,-1
GCF_008245225.1,-1
GCA_003021175.1,-1
GCA_001896725.1,-1
GCA_015660865.1,-1
GCA_002839675.1,-1
GCF_900107665.1,-1
GCF_009184545.1,-1
GCA_014061035.1,-1
GCF_009900715.1,-1
GCF_024138125.1,1
GCA_022450005.1,-1
GCF_023684405.1,-1
GCF_000337895.1,-1
GCA_003021685.1,-1
GCF_900100875.1,-1
GCF_016065055.1,-1
GCF_020700235.1,1
GCA_020793565.1,-1
GCF_000379085.1,-1
GCF_006546655.1,-1
GCA_021106765.1,-1
GCF_008124605.1,-1
GCF_000970325.1,-1
GCF_021233415.1,-1
GCA_018609725.1,-1
GCF_023913515.1,-1
GCF_014647115.1,-1
GCF_023115355.1,-1
GCA_003139855.1,-1
GCF_024170265.1,-1
GCA_014361205.1,-1
GCA_016841265.1,-1
GCF_018132105.1,-1
GCA_013415575.1,-1
GCA_007118975.1,1
GCF_002153915.1,-1
GCF_008729015.1,-1
GCA_003022685.1,-1
GCA_002503105.1,-1
GCA_002256595.1,-1
GCA_903819595.1,-1
GCA_003661125.1,-1
GCF_001006045.1,-1
GCA_018262855.1,-1
GCA_002010195.1,-1
GCA_003022725.1,-1
GCA_023544565.1,-1
GCF_001280425.1,-1
GCF_019599465.1,-1
GCA_016841485.1,-1
GCF_023093535.1,-1
GCF_900774055.1,-1
GCA_012518265.1,-1
GCF_001485535.1,-1
GCF_003610195.1,-1
GCA_007118075.1,-1
GCF_006861665.1,-1
GCF_900156425.1,1
GCF_900110455.1,-1
GCA_003023165.1,-1
GCF_024227715.1,-1
GCF_900112175.1,-1
GCA_003162175.1,-1
GCF_004765795.1,1
GCA_013329415.1,-1
GCF_023204835.1,-1
GCA_022865315.1,-1
GCA_017412625.1,-1
GCF_004765785.1,-1
GCF_000337495.1,-1
GCF_009834785.1,-1
GCA_002067265.1,-1
GCA_003154335.1,-1
GCA_012523385.1,-1
GCF_000337735.1,-1
GCF_900215215.1,-1
GCF_003862495.1,-1
GCF_000336915.1,-1
GCF_000969965.1,-1
GCF_013388255.1,-1
GCF_017094525.1,-1
GCF_024808815.1,-1
GCF_900115785.1,-1
GCA_021108405.1,-1
GCA_002011235.1,-1
GCA_003021975.1,-1
GCF_020567525.1,-1
GCF_003670115.1,-1
GCF_024498195.1,-1
GCA_002503825.1,-1
GCF_900100385.1,-1
GCA_005954745.1,-1
GCA_001914405.1,-1
GCA_024518585.1,-1
GCA_009779205.1,-1
GCA_007118145.1,-1
GCF_014647235.1,-1
GCA_021163065.1,-1
GCF_000230735.2,-1
GCF_023702065.1,-1
GCA_003552885.1,-1
GCF_017873855.1,-1
GCA_002010285.1,-1
GCF_023703775.1,-1
GCA_021108185.1,-1
GCF_000304355.2,-1
GCF_009690625.1,-1
GCA_016278365.1,-1
GCF_009617995.1,-1
GCF_000504205.1,-1
GCA_000306725.1,-1
GCA_024227995.1,-1
GCA_015520485.1,-1
GCA_002506335.1,-1
GCF_020405185.1,-1
GCA_017656505.1,-1
GCA_002502245.1,-1
GCF_000217995.1,-1
GCA_016278385.1,-1
GCA_003194435.1,-1
GCF_900114435.1,-1
GCF_011043775.1,-1
GCF_020614395.1,-1
GCF_002025255.2,-1
GCA_002010045.1,-1
GCA_013331375.1,-1
GCF_016757965.1,-1
GCA_002499905.1,-1
GCF_900108095.1,-1
GCA_003022865.1,-1
GCA_019429385.1,-1
GCA_000496215.1,-1
GCA_003021015.1,-1
GCA_025058735.1,-1
GCF_003605575.1,-1
GCF_000147875.1,-1
GCF_003430825.1,-1
GCF_900103715.1,-1
GCA_007122455.1,-1
GCF_000337455.1,-1
GCA_002067275.1,-1
GCF_000970205.1,-1
GCF_014647155.1,-1
GCF_900109065.1,-1
GCA_013180585.1,-1
GCA_003020985.1,-1
GCA_004015825.1,-1
GCF_000336675.1,-1
GCF_004137855.1,-1
GCF_000739575.1,-1
GCF_017352155.2,-1
GCA_002501765.1,-1
GCA_024518575.1,-1
GCA_903871465.1,-1
GCF_019880225.1,-1
GCF_000021965.1,-1
GCA_903900025.1,-1
GCF_024300625.1,-1
GCF_009663395.1,-1
GCF_000243255.1,-1
GCF_003369835.1,-1
GCA_005239175.1,-1
GCF_024464655.1,-1
GCF_900129775.1,-1
GCF_002286985.1,-1
GCF_000765475.1,-1
GCA_002067795.1,-1
GCA_013415565.1,-1
GCF_001469955.1,1
GCF_900114835.1,-1
GCA_015163485.1,-1
GCA_003021085.1,-1
GCA_013329455.1,-1
GCF_001886955.1,-1
GCF_019633745.1,-1
GCA_007135505.1,-1
GCF_000337075.1,-1
GCA_001563965.1,-1
GCF_900111935.1,-1
GCA_013331415.1,-1
GCA_003661105.1,-1
GCA_018609945.1,-1
GCF_013267195.1,-1
GCA_001602645.1,-1
GCF_002355635.1,-1
GCF_019880245.1,-1
GCA_002010305.1,-1
GCA_002011165.1,-1
GCA_003251955.1,-1
GCF_004799665.1,-1
GCF_017874375.1,-1
GCF_000026045.1,-1
GCF_017875315.1,-1
GCF_000237865.1,-1
GCF_024298845.1,-1
GCA_020854755.1,-1
GCF_024170505.1,-1
GCA_020854785.1,-1
GCF_017094485.1,1
GCA_002503885.1,-1
GCA_903828975.1,-1
GCA_017613335.1,-1
GCF_000337835.1,-1
GCF_000204415.1,-1
GCF_000283335.1,1
GCF_000025685.1,-1
GCA_021409285.1,-1
GCF_000337915.1,-1
GCF_011440375.1,-1
GCA_021161765.1,-1
GCF_000337615.1,-1
GCF_000194625.1,-1
GCF_002252755.1,-1
GCF_009392895.1,-1
GCA_003661015.1,-1
GCF_004681185.1,-1
GCA_016927425.1,-1
GCA_013415595.1,-1
GCF_024178165.1,-1
GCA_024649985.1,-1
GCA_000224475.1,-1
GCA_017357105.2,-1
GCA_004211975.1,-1
GCF_024498175.1,-1
GCF_003697815.1,-1
GCF_021083305.1,1
GCF_000336695.1,-1
GCF_000337215.1,-1
GCA_016841665.1,-1
GCF_000328525.1,1
GCF_023699475.1,1
GCA_003023785.1,-1
GCF_000711215.1,-1
GCA_001766815.1,-1
GCF_000336815.1,-1
GCA_003662995.1,-1
GCA_016926855.1,-1
GCA_007128515.1,1
GCA_002067705.1,-1
GCF_024972735.1,-1
GCF_024464595.1,-1
GCA_021159385.1,-1
GCA_015523645.1,-1
GCA_000415985.1,-1
GCF_009791395.1,1
GCA_002509495.1,-1
GCA_012728895.1,-1
GCA_002496565.1,-1
GCA_013572355.1,-1
GCA_009903405.1,-1
GCF_000337535.1,-1
GCA_020844795.1,-1
GCF_007004735.1,-1
GCA_002495885.1,-1
GCF_000023965.1,-1
GCF_900100335.1,1
GCF_021023085.1,-1
GCA_012026795.1,-1
GCF_000755245.1,1
GCA_000416085.1,-1
GCF_005543295.1,-1
GCA_007127385.1,-1
GCA_023396065.1,-1
GCF_024218775.1,-1
GCF_024495425.1,-1
GCA_025058955.1,-1
GCF_000013725.1,-1
GCF_004297185.1,-1
GCF_024500045.1,-1
GCF_900111485.1,-1
GCF_002243045.1,-1
GCF_009674605.1,-1
GCA_013331225.1,-1
GCA_016782355.1,-1
GCA_016937345.1,-1
GCF_024372745.1,-1
GCF_005049285.1,-1
GCF_000969905.1,-1
GCA_002497965.1,-1
GCA_011048835.1,-1
GCF_000327485.1,-1
GCA_018334775.1,-1
GCF_000015765.1,-1
GCF_000011005.1,-1
GCA_001563805.1,-1
GCF_001485575.1,-1
GCF_002494345.1,-1
GCF_020150815.1,-1
GCF_024298885.1,-1
GCA_004212135.1,-1
GCF_000196655.1,-1
GCA_003162615.1,-1
GCF_000383975.1,1
GCA_022841205.1,-1
GCF_004799685.1,-1
GCF_021184045.1,-1
GCF_024362485.1,-1
GCA_001564135.1,-1
GCA_902158735.1,-1
GCA_002067365.1,-1
GCA_022710385.1,-1
GCA_023136155.1,-1
GCF_900111645.1,-1
GCA_022353185.1,-1
GCA_001563795.1,-1
GCA_013330355.1,-1
GCF_020097835.1,-1
GCA_003838065.1,-1
GCF_000196895.1,-1
GCA_012329085.1,-1
GCF_023028225.1,-1
GCA_016841625.1,-1
GCF_000970045.1,-1
GCA_024228675.1,-1
GCF_000970025.1,-1
GCA_000415965.1,-1
GCA_017883965.1,-1
GCF_024298825.1,-1
GCA_016926455.1,-1
GCA_016928455.1,-1
GCF_000025325.1,-1
GCF_017874235.1,-1
GCF_004102725.1,-1
GCF_017094505.1,-1
GCA_016706325.1,-1
GCF_900104065.1,-1
GCF_002952775.1,-1
GCA_016699325.1,-1
GCA_013180605.1,-1
GCF_000337675.1,-1
GCF_024972755.1,-1
GCA_013329165.1,-1
GCF_900103505.1,-1
GCA_003020925.1,-1
GCF_000385565.1,-1
GCF_010119195.1,-1
GCF_023638035.1,-1
GCA_002254825.2,-1
GCF_020177375.1,-1
GCF_900107205.1,-1
GCA_016649585.1,-1
GCF_019693215.1,-1
GCF_024449025.1,-1
GCF_004944975.1,-1
GCF_000017625.1,-1
GCA_003978865.1,-1
GCF_003675855.1,-1
GCA_003663055.1,-1
GCA_001564255.1,-1
GCF_001462205.1,-1
GCA_003170935.1,-1
GCF_002114285.1,-1
GCA_002507545.1,-1
GCF_023698535.1,-1
GCF_000474235.1,-1
GCA_003661185.1,-1
GCA_000416005.1,-1
GCF_003439925.1,-1
GCF_004143485.2,1
GCF_004799645.1,-1
GCA_000690595.2,-1
GCF_003730195.1,-1
GCA_017408885.1,-1
GCA_018065685.1,-1
GCA_018899795.1,-1
GCA_021108275.1,-1
GCF_023008545.1,-1
GCF_023276355.1,-1
GCA_002067035.1,-1
GCA_013374505.1,-1
GCA_003022005.1,-1
GCA_024699715.1,-1
GCF_000376445.1,1
GCF_024494645.1,-1
GCF_004785955.1,-1
GCF_000731985.1,-1
GCA_021159475.1,-1
GCA_001896715.1,-1
GCF_024508235.1,-1
GCF_019823105.1,-1
GCA_002506535.1,-1
GCF_023016325.1,-1
GCF_000334895.1,1
GCF_000337095.1,-1
GCA_004193545.1,-1
GCF_019599405.1,-1
GCF_000014945.1,-1
GCF_000784355.1,-1
GCF_003173355.1,-1
GCF_024494695.1,-1
GCF_002177135.1,-1
GCF_003675875.1,-1
GCF_000337575.1,1
GCA_000496235.1,-1
GCF_002906575.1,-1
GCF_023074835.1,1
GCA_009889685.1,-1
GCF_024300825.1,-1
GCA_002494725.1,-1
GCA_000337115.1,-1
GCF_013377755.1,-1
GCF_020567425.1,-1
GCF_000226975.2,-1
GCA_004212075.1,-1
GCA_023659775.1,-1
GCF_017357405.1,-1
GCA_020724545.1,-1
GCA_001412335.1,1
GCA_003554115.1,-1
GCF_024464185.1,-1
GCF_000336775.1,-1
GCA_002505805.1,-1
GCA_002496395.1,-1
GCF_000235565.1,-1
GCA_001766825.1,-1
GCF_023028105.1,-1
GCA_002010075.1,-1
GCA_002068435.1,-1
GCA_014361165.1,-1
GCF_023638055.1,-1
GCF_000336935.1,-1
GCA_021371995.1,-1
GCF_000306765.2,-1
GCA_000336895.1,-1
GCA_014859725.1,-1
GCA_011605865.1,-1
GCF_000217715.1,-1
GCF_000337595.1,-1
GCF_014646875.1,-1
GCA_015523335.1,-1
GCF_000022205.1,-1
GCA_012961645.1,-1
GCA_013331215.1,-1
GCF_024296665.1,-1
GCF_024362405.1,-1
GCF_000336955.1,-1
GCF_000337135.1,-1
GCF_000970085.1,-1
GCF_013402875.1,-1
GCA_001564115.1,-1
GCA_002506015.1,-1
GCF_000251105.1,-1
GCF_003336245.1,-1
GCF_900880625.1,-1
GCA_003020945.1,-1
GCA_003023195.1,1
GCA_003160755.1,-1
GCA_903926075.1,-1
GCF_021729015.1,1
GCF_000025285.1,-1
GCF_900115675.1,-1
GCF_000023945.1,-1
GCA_003021305.1,-1
GCA_002287215.1,-1
GCA_003022845.1,-1
GCA_002508425.1,-1
GCF_900156475.1,-1
GCA_015523665.1,-1
GCF_000172995.2,-1
GCA_013415665.1,-1
GCF_000517625.1,1
GCA_003021105.1,-1
GCA_004212085.1,-1
GCF_013391105.1,-1
GCA_021159465.1,-1
GCA_016207465.1,-1
GCA_013139985.1,-1
GCF_000739555.1,1
GCF_009831455.1,-1
GCF_024609245.1,-1
GCF_006861655.1,-1
GCA_003021785.1,-1
GCF_013839515.1,-1
GCF_004698125.1,-1
GCA_016927055.1,-1
GCA_014859785.1,-1
GCA_023544495.1,-1
GCF_000337335.1,-1
GCF_006543045.1,-1
GCA_002498375.1,-1
GCF_020614375.1,1
GCF_001989615.1,-1
GCA_002498315.1,-1
GCA_002011215.1,-1
GCA_002508705.1,-1
GCA_023249105.1,1
GCA_011049045.1,-1
GCA_002926195.1,-1
GCA_012910725.1,-1
GCF_003342675.1,-1
GCF_000223905.1,-1
GCF_000025505.1,-1
GCF_013415905.1,-1
GCF_000691505.1,-1
GCF_003722075.1,-1
GCF_000495475.1,-1
GCA_020216685.1,-1
GCF_014212355.1,-1
GCA_003336485.1,-1
GCF_007421925.1,-1
GCA_017387505.1,-1
GCA_003551265.1,-1
GCF_000328685.1,-1
GCA_002010215.1,-1
GCA_003559215.1,-1
GCF_000591055.1,-1
GCA_002499445.1,-1
GCA_016926505.1,-1
GCA_002495225.1,-1
GCA_002067315.1,-1
GCA_012026835.1,-1
GCA_902386135.1,-1
GCA_009649835.1,-1
GCA_018687785.1,-1
GCF_009831625.1,-1
GCF_020618475.1,1
GCA_002506085.1,-1
GCA_009789175.1,-1
GCF_007655485.1,-1
GCF_000337515.1,1
GCF_009176545.1,-1
GCF_024298905.1,-1
GCA_002506105.1,-1
GCF_019599505.1,-1
GCF_001571385.1,-1
GCF_002156705.1,-1
GCF_000337175.1,-1
GCA_905067535.1,-1
GCF_000025865.1,-1
GCF_000337775.1,-1
GCF_024138145.1,-1
GCA_007119345.1,1
GCA_002502785.1,-1
GCA_002067095.1,-1
GCF_900107195.1,-1
GCF_000711905.1,-1
GCA_002509485.1,-1
GCF_013839425.1,-1
GCA_025057895.1,-1
GCF_003058365.1,-1
GCF_000011085.1,-1
GCF_900110215.1,-1
GCA_007129135.1,-1
GCA_003298465.1,-1
GCA_003194445.1,-1
GCF_008122205.1,-1
GCA_009784005.1,-1
GCF_000455365.1,-1
GCF_024494595.1,-1
GCA_023436075.1,-1
GCF_024362525.1,1
GCF_000337695.1,-1
GCA_001563885.1,-1
GCF_021431925.1,-1
GCF_001889405.1,-1
GCF_007833275.1,-1
GCF_000230955.2,-1
GCA_013180565.1,-1
GCF_001282785.1,-1
GCF_011734195.1,-1
GCA_025041195.1,-1
GCA_003551945.1,-1
GCF_024218795.1,-1
GCA_014859735.1,-1
GCA_004332335.1,-1
GCA_007122875.1,-1
GCA_007123105.1,-1
GCF_000337555.1,-1
GCF_003977755.1,-1
GCF_024494725.1,-1
GCA_009618475.1,-1
GCA_017553245.1,-1
GCA_001412355.1,-1
GCA_022561895.1,-1
GCA_015660915.1,-1
GCA_023544605.1,-1
GCF_000275865.1,-1
GCA_015523685.1,-1
GCA_018432765.1,-1
GCA_003565715.1,-1
GCA_003194425.1,-1
GCA_018609935.1,1
GCF_019263745.1,-1
GCA_002494625.1,-1
GCF_000710615.1,1
GCA_023131215.1,-1
GCF_023238205.1,1
GCA_013329575.1,-1
